ax,ay,az,gx,gy,gz
-0.7453,0.1308,-9.7096,-9.0277,2.8351,14.6842
-0.8998,0.3366,-9.6320,-7.3469,5.4099,15.8809
-1.1485,0.4589,-9.6674,-5.1187,3.3155,17.5794
-0.5963,0.5565,-9.9264,-4.0213,4.8845,14.7148
-0.2959,0.6300,-9.9862,-3.1211,2.7271,11.7626
-0.3435,0.7053,-10.2549,-3.1844,-0.6181,10.4616
-0.2155,0.7871,-10.2207,-4.2633,-3.6771,11.5034
-0.0982,0.8658,-9.6826,-4.8190,-4.0935,8.2089
-0.2331,0.8394,-9.1083,-2.5534,-5.0599,9.1319
-0.0217,0.8549,-8.8568,1.1299,-5.7817,8.5297
-0.0961,0.8668,-8.6962,4.1548,-4.8044,5.2976
-0.2294,0.7909,-8.2836,3.5461,-5.1742,3.8430
-0.3199,0.7347,-7.4740,6.7600,-3.8883,1.5362
-0.8025,0.5078,-6.2961,12.9279,-2.4916,1.7985
-0.5796,0.0775,-5.5680,19.8076,-4.1697,-0.0360
-0.3815,-0.5663,-4.6531,30.4266,3.2972,-3.2947
-0.4726,-1.3152,-3.6522,39.0351,11.8317,-5.2657
-0.5291,-2.1923,-2.0899,45.2421,11.8977,-2.8467
0.5204,-3.1004,-0.6845,63.6437,-6.4525,4.2694
2.3672,-3.9054,-0.2953,82.1346,2.8525,-5.5015
2.5200,-4.6983,-0.6908,109.5543,13.8464,-20.1369
1.1227,-4.9619,-1.9345,128.4302,19.9067,-28.6997
-0.8481,-5.0869,-3.9335,142.2629,15.7008,-10.9907
-0.4537,-4.9235,-7.8956,142.9198,2.1416,7.5619
0.2651,-4.3859,-10.2415,128.0079,-19.3961,-1.5782
-0.5986,-4.1114,-11.3593,131.3893,-28.1343,-21.1469
-2.6971,-4.9791,-12.1556,151.5748,7.1228,-1.5790
-1.6130,-4.7883,-19.1863,138.0267,15.7141,-14.3192
-3.7375,-5.0006,-20.5862,87.5799,-1.2671,-9.1465
-0.3268,-4.5779,-20.7686,46.8554,-18.8136,-13.8741
-1.8513,-4.8160,-19.0950,49.6181,-5.1426,-20.2650
-2.2100,-4.5736,-20.0687,10.2976,4.1745,0.9214
-0.5778,-4.5002,-17.1395,-17.5705,12.6865,5.4736
0.2359,-4.3558,-16.2045,-26.9308,19.0237,0.0354
-0.5929,-4.1283,-15.5530,-43.9738,13.9164,-7.1861
-0.4674,-4.0147,-14.9192,-54.2955,-6.5765,-9.7223
0.1127,-4.1395,-14.5459,-60.4676,-17.9758,-17.6436
-0.5152,-4.1690,-14.4695,-71.1000,-20.4461,-21.9756
