ax,ay,az,gx,gy,gz
-0.1902,-2.5908,-8.9038,-0.3153,3.1252,-1.7350
-0.3879,-2.5385,-9.2451,2.8633,4.6402,-1.6948
-0.3830,-2.5955,-9.3722,2.9058,4.3579,-1.9317
-0.4963,-2.6413,-9.5352,1.7846,3.1919,-1.1830
-0.3713,-2.6306,-9.4963,-0.9374,2.8966,-0.8851
-0.2813,-2.6610,-9.1034,0.6770,3.8328,-1.0616
-0.2973,-2.6414,-9.2841,2.7524,3.8681,-2.4384
-0.4680,-2.6278,-9.4079,2.6930,2.7441,-2.6490
-0.4321,-2.5763,-9.5725,0.8570,0.4424,-1.6370
-0.1931,-2.5644,-9.5716,0.1265,-0.6841,-2.4566
-0.1556,-2.6231,-9.5223,0.0888,0.0477,-3.3728
-0.4894,-2.6897,-9.4422,1.9704,0.2547,-3.1472
-0.5271,-2.7219,-9.7330,0.4852,-1.9811,-0.8237
-0.2539,-2.7809,-9.5606,-0.7801,0.3747,-1.0371
-0.2692,-2.7237,-9.4488,-0.1455,1.2277,-2.0493
-0.4164,-2.6577,-9.4763,-0.8624,-1.1725,-1.3984
-0.2416,-2.6458,-9.3403,-0.7262,-0.7788,-1.2237
-0.4573,-2.5374,-9.5196,0.1709,0.5580,-1.6178
-0.3414,-2.5835,-9.6284,-0.9473,-1.0175,-0.7209
-0.2406,-2.6912,-9.3749,-0.5914,-0.0427,-1.4177
-0.3849,-2.7485,-9.2222,0.3089,-1.8887,-1.5685
-0.3731,-2.8520,-9.2882,0.3721,-3.0026,-0.9542
-0.5817,-2.9997,-8.7958,3.1790,-1.9284,1.0183
-0.5263,-3.1277,-8.3607,7.5412,-1.4589,0.8759
-0.4496,-3.2276,-8.2337,12.8594,-2.8737,1.8308
-0.3095,-3.3480,-7.7913,21.0448,0.9046,2.6322
-0.7610,-3.4507,-7.7708,23.2058,0.3849,2.1503
-1.5025,-3.5866,-7.4573,24.9086,-5.2169,12.2426
-0.6334,-3.7358,-7.2922,28.1993,-5.3805,19.5879
0.1446,-3.8297,-7.3216,27.8648,1.8460,13.8702
0.4801,-3.9708,-6.8607,34.0539,3.1197,3.7978
-0.1125,-4.1134,-7.2680,39.6354,-0.5883,-2.8230
-0.6941,-4.1500,-8.0986,38.9480,-8.2594,-2.8021
-0.5768,-4.2827,-8.6164,34.5440,-11.6910,-3.8053
-0.3285,-4.2980,-8.6524,27.9869,-11.2440,-7.7448
-0.4285,-4.2609,-8.0357,28.0332,-13.2157,-9.0595
-0.4020,-4.2865,-7.9891,31.8449,-17.5827,-8.2760
-0.2070,-4.3255,-8.2760,34.4153,-18.1402,-9.9030
-0.7605,-4.3756,-8.4392,35.2694,-14.1894,-9.5810
-0.8338,-4.4531,-8.3312,33.0804,-12.7860,-8.6521
-1.3096,-4.6655,-7.7753,39.0373,-8.6450,-2.9718
-0.7238,-4.7500,-8.1362,42.8406,-7.6296,-1.6811
-0.5800,-4.9162,-8.0233,37.9052,-2.1678,1.0241
-0.4191,-4.8354,-7.7364,37.7538,-3.8723,5.5566
-0.9198,-5.0395,-7.6683,44.1001,-8.6388,4.1568
-0.9894,-5.1812,-9.2952,49.0697,-6.2362,9.1634
-0.8643,-5.2203,-10.2739,41.9010,1.2526,6.8142
-1.1632,-5.2359,-9.2917,36.4777,7.0984,7.6075
-0.6655,-5.3775,-8.3880,40.3048,4.6616,7.1224
-0.1160,-5.4194,-8.7834,42.2490,3.1442,-0.0672
-0.5658,-5.4765,-8.8802,40.8309,-0.7050,-6.5104
-1.4680,-5.4530,-9.1204,35.2511,-5.8612,-3.1734
-1.6282,-5.7261,-9.6137,28.7318,-6.6906,4.6873
-0.9399,-5.7829,-9.8041,36.3377,-2.0049,-5.7145
-1.2048,-5.8545,-9.9894,28.3634,7.7411,-6.5236
-1.4025,-5.9492,-9.8557,20.8493,6.1396,-4.4430
-0.9999,-6.1425,-9.4596,14.7406,6.5140,-4.7111
-1.2172,-6.3145,-9.0570,10.7084,7.4216,-3.6376
-1.2777,-6.2677,-9.0669,7.9660,8.4150,-1.9460
-1.0943,-6.3154,-8.9498,4.5146,9.6532,-1.0622
-0.9666,-6.3631,-8.7015,0.1066,9.8930,-1.6378
-0.9187,-6.4772,-8.1762,-2.3216,5.3099,1.1678
-0.8016,-6.3699,-8.1545,-4.4257,3.4864,0.7246
-0.8040,-6.2235,-7.8145,-6.6538,5.6269,-0.6740
-1.0125,-6.1594,-7.3508,-6.9081,4.6662,-0.1346
-1.1617,-6.0879,-7.3189,-4.8176,2.1345,1.4709
-1.3104,-5.9874,-7.5368,-5.6718,-0.1374,1.7303
-1.3234,-6.0079,-7.5601,-7.4025,-0.4933,2.1286
-1.6773,-6.0737,-7.2899,-8.5548,-0.1714,1.8235
-1.9305,-5.9644,-7.4849,-5.3885,0.6733,7.2656
-1.7546,-6.0506,-7.4242,-5.3510,0.9250,11.1590
-1.9554,-6.0734,-7.3943,-4.5353,6.4201,14.9419
-2.1247,-6.1257,-7.2959,-3.3677,10.2503,19.5661
-2.0047,-6.1407,-7.3058,-1.4702,13.2073,23.0919
-1.8965,-6.1438,-7.3414,-2.1060,16.5334,25.5063
-2.0494,-6.0672,-7.1222,-1.8111,18.3626,28.9116
-1.8537,-6.0281,-6.9514,0.2872,20.2706,31.9102
-1.7010,-6.1451,-7.1975,4.1146,21.7041,33.8199
-1.6489,-6.1859,-7.4683,2.6871,22.1902,35.4227
-1.3803,-6.1272,-7.4522,0.2225,20.0655,36.3554
-1.3224,-6.1269,-7.1489,0.6749,19.1358,36.2208
-1.3081,-6.1181,-7.3712,3.3416,18.9344,35.8300
-1.1266,-6.0714,-7.4740,4.3605,19.9923,34.0729
-1.4606,-6.1278,-7.1288,4.0494,18.1373,32.7416
-1.6310,-6.1070,-7.5044,4.8529,15.2075,36.3423
-1.2551,-6.1073,-7.4291,3.5709,12.5666,38.5337
-1.2150,-5.9576,-7.0475,4.9575,13.4546,37.5933
-1.2883,-5.8116,-6.7632,8.8389,14.1451,35.7439
-1.5423,-5.7305,-7.0189,12.7435,11.8488,36.2725
-1.7211,-5.8048,-6.8037,13.0749,10.0922,36.9886
