ax,ay,az,gx,gy,gz
0.5468,-0.2604,-9.8001,-1.2227,3.8075,-0.1486
0.6027,-0.2599,-9.7775,-0.9960,2.0035,-0.0942
0.6682,-0.3144,-9.8319,-2.0017,0.3585,-1.5055
0.4262,-0.3419,-9.7210,-1.6431,0.6733,-1.2241
0.4712,-0.3182,-9.8987,-1.5005,0.6722,-0.0163
0.5755,-0.3030,-9.7187,-1.0644,1.1775,-0.3366
0.4816,-0.2394,-9.8171,-0.3008,1.6736,-0.2954
0.5796,-0.2400,-9.8188,-0.3342,1.7024,1.0276
0.7627,-0.2431,-9.8483,-0.6425,2.0510,0.6688
0.6684,-0.2587,-9.8918,-0.5122,2.0633,1.2848
0.7030,-0.2506,-9.7304,-0.2497,-0.7979,1.7827
0.8406,-0.0629,-10.1330,0.9085,0.4661,0.2950
0.9444,0.2221,-10.5352,-0.1480,1.9385,-0.3392
1.2277,0.4133,-11.2860,-5.5419,-2.4492,-1.8138
1.2050,0.3165,-11.4665,-10.7226,-8.2833,-2.4005
1.3429,0.1483,-11.4375,-15.3972,-12.3327,-2.6761
1.1615,0.1448,-10.6682,-20.2918,-15.6298,-2.7436
0.8617,0.3682,-9.4918,-23.6723,-14.8764,-4.2456
-0.1883,0.2006,-7.1277,-13.5953,-12.0900,3.5020
-0.1652,-0.2148,-5.8990,0.0661,-12.6250,9.1136
0.5989,-1.0629,-5.8106,12.2455,-15.0296,8.2695
0.7992,-1.8355,-5.3201,16.8386,-20.2854,3.5503
0.4755,-2.6616,-3.2261,26.8850,-20.6908,2.1784
0.1709,-3.0450,-2.1969,46.5192,-14.2770,2.0540
-0.1347,-3.2984,-2.1793,63.1403,-2.6632,0.4872
0.3287,-3.6557,-2.0283,82.8616,4.1916,-2.7494
1.0000,-4.1725,-2.1987,105.8395,15.8544,-3.8265
0.6937,-4.6086,-3.3874,135.7611,31.1583,3.7531
1.2663,-4.6582,-6.2722,154.4101,44.7077,15.4514
1.5834,-4.7644,-8.3219,160.1445,46.1791,14.9639
1.9171,-5.3253,-11.9988,174.4804,28.5145,-7.0205
1.3640,-6.0153,-17.6169,177.6977,15.1216,-8.1812
-0.3976,-6.2524,-23.5607,142.1406,-2.9359,-25.6708
-1.4328,-6.5340,-28.9196,69.3652,-12.4388,-23.8629
-0.8592,-6.7613,-29.5736,-5.7853,-13.1010,-15.3883
0.4236,-6.7538,-27.9724,-69.5737,-7.1688,-9.6140
2.8214,-6.7768,-24.4250,-128.0403,-8.4331,-15.3246
3.4153,-6.5006,-21.6736,-179.9219,-10.1585,-33.2336
2.8044,-5.8836,-17.4496,-206.0020,-25.8496,-41.2023
3.9099,-5.2318,-14.5442,-223.4598,-51.2280,-58.0710
4.9664,-4.9638,-10.3800,-237.1497,-85.9823,-82.9486
4.4445,-4.1714,-7.2448,-239.3092,-97.9982,-102.6254
1.9461,-2.7640,-2.8105,-206.3236,-72.3063,-97.2201
0.2921,-0.8987,-0.5793,-166.3088,-55.8038,-82.0879
-1.0287,-0.0125,3.3283,-131.6737,-56.8243,-70.5456
-2.8999,0.1154,5.0847,-61.8783,-49.3486,-61.6961
-2.5091,-0.6290,2.5477,-5.1520,-38.6190,-38.3655
-2.5006,-1.6456,1.3654,30.8217,-29.1656,-33.3395
-3.6066,-2.9952,0.1083,63.4695,-39.1444,-11.6988
-3.0756,-4.1229,-0.9192,88.2189,-41.2603,10.9892
-2.1324,-4.5802,-1.9994,98.4457,-23.5993,16.7289
-2.8319,-4.8947,-2.2189,107.7412,-3.5907,33.4694
-3.0728,-4.9133,-2.8335,120.5437,10.1448,54.7134
-1.8806,-5.1223,-2.7784,143.5505,22.8172,66.7908
0.4466,-5.3410,-3.9581,168.1729,33.2965,58.4461
-0.3160,-5.0793,-6.8998,180.2458,42.5238,48.7615
-0.8586,-4.7792,-12.5596,183.0685,33.2558,53.7592
1.5649,-4.6887,-16.7393,180.1876,59.8726,54.1461
2.4918,-5.1598,-18.8749,157.1665,71.2217,36.2608
1.6446,-5.9725,-23.3784,119.5148,61.1542,23.7495
0.8666,-5.6360,-26.6369,56.1057,52.6386,10.4683
-0.1604,-5.1736,-25.5649,-0.8192,39.1771,9.4408
-0.0158,-5.0473,-24.5649,-32.1935,48.9520,7.9783
-0.1773,-4.7751,-23.8357,-74.0118,79.0151,5.4575
-2.1577,-4.6380,-23.0643,-116.5296,75.9301,7.5314
-1.6202,-5.1454,-21.3109,-159.8737,38.8769,19.1042
-0.7552,-5.7305,-17.3081,-188.4153,17.7274,28.4716
1.4678,-5.8567,-13.0530,-196.6528,18.9641,21.2825
3.2801,-5.6216,-8.3199,-180.8373,29.2767,-13.3575
2.7391,-4.9143,-6.1486,-168.7703,19.9769,-19.1743
1.8208,-4.1834,-4.2530,-162.9996,-1.5519,-5.8519
2.0893,-3.2759,-0.2773,-147.0897,-22.1723,8.6372
2.3777,-2.0591,2.1835,-107.9262,-31.9785,1.4206
0.6050,-1.2522,2.5546,-70.2159,-38.1984,-1.0293
-0.3999,-0.6343,2.3795,-40.7126,-47.7119,-0.6553
-1.3559,-0.6910,2.9639,-11.3136,-55.3327,9.9883
-0.8748,-0.7799,2.4156,19.5190,-57.8169,11.1465
-2.0549,-0.7316,1.4136,42.8297,-56.2344,12.4081
-2.6512,-1.0294,0.5683,62.3045,-48.7346,23.4470
-3.1709,-1.4908,0.0966,77.3870,-42.9266,51.7793
-2.0752,-1.9827,-0.5695,103.5770,-53.9766,49.2279
-2.2847,-2.9852,-2.2176,124.2817,-60.1856,48.7184
-1.3884,-4.1449,-4.3227,133.4471,-52.7513,48.9372
-0.9568,-4.5371,-6.5867,148.0102,-43.8083,53.8713
-0.1627,-4.6759,-9.4729,157.5980,-46.3614,43.8645
-0.4663,-4.3882,-13.5776,146.5347,-46.7029,21.3800
-0.5294,-4.0663,-15.6806,140.1096,-24.8798,10.3684
