ax,ay,az,gx,gy,gz
-2.5700,2.2493,-10.4129,-1.8745,-11.5187,-5.9323
-2.4326,2.3783,-10.2864,-9.3056,-18.6778,-2.9012
-2.4240,2.3403,-10.0920,-11.9673,-13.5603,-1.3580
-2.4639,2.3943,-9.8417,-14.3329,-12.9993,0.0147
-2.4768,2.3294,-9.2235,-14.2626,-9.4886,1.5303
-2.4791,2.2690,-8.6951,-14.7405,-10.0305,1.6697
-2.5722,2.0807,-7.5196,-9.4092,-9.2346,1.1351
-2.4652,1.8300,-6.8127,-1.3451,-7.4848,0.7959
-2.4168,1.5141,-6.0733,5.6990,-6.0300,0.1552
-2.3774,1.1637,-4.8945,21.2304,-9.4552,-2.7972
-2.5318,0.6986,-4.4456,38.4529,-13.0519,-6.1636
-2.6018,0.0756,-4.7626,49.6045,-24.4298,-7.2923
-2.4568,-0.5267,-5.1481,60.9118,-28.0297,-10.4810
-3.1742,-0.9536,-4.8692,71.2693,-30.8108,-11.5390
-3.4568,-1.2532,-4.8015,85.5481,-33.4347,-12.8030
-4.3530,-1.4992,-5.0252,92.9997,-11.5081,-5.5085
-4.3350,-1.8275,-5.1431,112.2758,-3.2474,-3.1541
-3.8610,-2.2896,-5.9247,126.3098,1.0088,0.9017
-2.7331,-2.9345,-6.5527,139.3540,17.0326,9.2169
-2.4139,-3.2343,-7.1657,148.2531,31.3320,6.2876
-2.4714,-3.5639,-8.0262,157.8632,33.2283,5.9650
-2.1110,-3.9890,-10.6939,161.5184,27.3656,7.6490
-1.9849,-4.3713,-12.9772,148.0945,31.7344,10.1314
-1.3296,-4.4975,-14.7702,134.5345,30.5223,3.1110
-1.2936,-4.4959,-16.8236,112.1536,28.7757,1.4557
-1.4435,-4.3425,-17.4130,89.2132,20.4519,-2.6169
-2.2149,-4.3161,-20.0420,49.6126,26.3282,5.0352
-2.6025,-4.0606,-19.4946,26.6909,31.0266,6.8154
-3.2380,-4.0858,-20.1354,-1.6066,21.0525,9.3361
-2.6523,-4.2715,-20.7074,-38.8711,7.0527,12.2357
-1.4338,-4.3080,-19.9120,-78.3969,-1.5944,7.6573
-0.7069,-4.2361,-18.5208,-103.9441,1.8351,-6.3873
-0.7779,-4.0144,-16.7887,-128.1021,7.1616,-12.6920
-0.9559,-3.5199,-15.4858,-152.0446,-3.5321,-17.4343
-1.3582,-3.1704,-12.3538,-161.1495,-21.6957,-20.9650
-1.3655,-2.4637,-10.3383,-166.8375,-43.0002,-31.8110
-1.9562,-1.7561,-7.3983,-161.3454,-60.6652,-43.1652
-2.8569,-1.1460,-5.2949,-140.0672,-60.0651,-42.2458
-2.5525,-0.6727,-5.2302,-135.0992,-58.5198,-39.3511
-3.1576,-0.5709,-3.2681,-126.0416,-53.3108,-40.2646
-3.9890,-0.6082,-1.6950,-100.5630,-57.1389,-41.3024
-4.3313,-0.7872,-2.2245,-76.3479,-61.3595,-35.3510
-4.7586,-1.1207,-2.9021,-57.3984,-52.5440,-24.8485
-4.8306,-1.4954,-2.3648,-38.8159,-46.7605,-12.9566
-4.6403,-1.7310,-1.8226,-15.0688,-38.4743,-5.4010
-5.0054,-1.9111,-1.8056,8.7102,-32.5220,2.4522
-4.8453,-2.0606,-1.4243,26.2640,-26.3603,7.0100
-4.5481,-2.1143,-1.2841,47.3258,-19.9468,8.1069
-4.6143,-2.3605,-1.1563,71.7643,-10.5248,11.8731
-4.5139,-2.5189,-1.5347,92.6152,-1.2546,15.0153
-4.6843,-2.6309,-2.1435,107.1915,7.9553,21.3655
-4.7088,-2.8081,-3.1090,122.6852,9.8075,25.1566
-4.4996,-3.0428,-3.6660,134.5400,14.8856,29.7418
-4.4884,-3.4070,-4.8789,148.0236,18.5500,33.9265
-4.4004,-3.9871,-4.5460,167.1287,26.7095,39.0898
-3.7919,-4.2899,-7.6178,167.6918,23.6338,32.2089
-3.3453,-4.5718,-9.2751,166.7356,13.3904,27.4901
-2.6777,-4.6205,-10.6895,155.8182,-2.2760,22.6200
-2.8241,-4.7033,-11.2206,147.5967,-12.7242,13.6436
-3.7728,-4.8083,-12.6277,142.2602,-9.4634,10.7042
-4.8908,-4.8212,-13.2135,132.8453,-12.1279,10.6305
-4.3905,-4.7544,-13.9768,95.3388,-54.9144,-17.4272
-4.4421,-4.7940,-15.4071,92.5119,-12.5523,-2.2907
-3.9036,-4.6311,-15.2790,71.8305,25.2927,5.8393
-4.1187,-4.6701,-15.0695,57.4902,45.0713,8.3998
-3.4897,-4.4378,-14.0784,36.8640,50.4121,6.9740
-3.3720,-4.1436,-13.8858,18.0780,37.0689,0.4638
-3.7112,-4.0093,-13.1349,-0.3974,16.0807,-7.9007
-4.1229,-4.0308,-12.5566,-17.3582,-4.7459,-11.9876
-3.7680,-4.1891,-12.5023,-29.0380,-16.2780,-17.7020
-4.2981,-4.4049,-12.9043,-43.2949,-20.4028,-19.1749
-4.0711,-4.5656,-12.7674,-53.4774,-20.6953,-16.5998
-4.2574,-4.6440,-12.7648,-62.4181,-15.1217,-16.3339
-4.7580,-4.7155,-12.0348,-72.1290,-15.2644,-11.2968
-4.2742,-4.5481,-11.2055,-79.0697,-18.4822,-9.5876
-4.6782,-4.5304,-9.9361,-81.7470,-21.4906,-10.6357
-4.9946,-4.5090,-9.5262,-81.5478,-26.7759,-11.3477
-5.5181,-4.6301,-8.9308,-82.5223,-35.9598,-7.3319
-5.3950,-4.8368,-8.4749,-83.5001,-40.6254,1.5154
-4.5104,-4.6424,-8.2302,-90.3377,-32.4928,7.4802
-4.0230,-4.4498,-7.0637,-94.5757,-18.3828,7.9147
-4.3045,-4.0994,-5.8101,-91.3306,-10.9141,4.7579
-4.5203,-3.4673,-4.6716,-80.0504,-11.1877,8.0538
-4.4332,-3.0803,-3.8930,-69.3664,-11.0438,8.9859
-3.7416,-2.5719,-3.7100,-57.1494,-4.2849,3.3717
-4.1234,-2.2342,-3.3433,-44.9968,4.8529,-0.9273
-4.4194,-1.8031,-3.7506,-36.0310,4.8640,0.6075
