ax,ay,az,gx,gy,gz
-0.0502,-0.6074,-9.8198,5.4617,-0.6372,-1.4829
-0.0094,-0.6227,-9.7507,5.2041,-0.3550,-1.0044
0.0903,-0.6028,-9.7060,6.8296,-0.3692,-0.9826
0.1156,-0.5373,-9.6737,7.9400,-0.2063,-1.4797
-0.1480,-0.5026,-9.9750,9.3512,-2.3753,0.2192
-0.0945,-0.4427,-9.9825,7.4682,-2.1425,0.3050
-0.2115,-0.3065,-9.9596,7.6462,-0.8697,1.8987
-0.4597,-0.1024,-9.7257,7.8856,-3.0607,2.7857
-0.3136,0.0940,-9.7824,8.1916,-6.9672,7.4798
1.8826,0.0166,-10.1479,8.5662,-5.8662,6.1865
2.9035,-0.1295,-10.6391,6.7765,-0.5389,-15.7393
3.9147,-0.3980,-11.2812,1.8917,0.4849,-38.1613
4.1269,-0.7555,-11.4445,-3.2551,-5.4721,-58.7999
4.2229,-1.3674,-11.2587,-9.4756,-21.0346,-69.2034
4.6760,-1.8875,-10.9025,-12.9200,-26.6367,-83.9219
3.3262,-2.4460,-10.0663,-15.3021,-35.0614,-91.2956
2.7373,-2.5587,-9.2350,-13.4681,-40.1837,-92.9650
2.4857,-2.5719,-7.6365,-7.3435,-45.9308,-93.9664
2.0369,-2.5166,-5.9602,0.7413,-51.9265,-92.1732
2.7948,-2.2986,-4.5786,12.8513,-59.9178,-104.2305
2.7535,-2.6874,-2.8302,33.5173,-66.4271,-129.6804
0.0111,-3.6402,-3.5378,56.8711,-66.6147,-140.8182
-2.0251,-4.5006,-5.5886,62.9601,-52.8648,-134.2913
-2.9909,-4.9927,-6.2980,60.2408,-34.9603,-121.1995
-4.1446,-5.3009,-7.4187,60.2546,-23.8322,-105.8328
-4.2636,-5.3976,-8.4640,56.2561,-9.8369,-93.9022
-3.9652,-5.3007,-7.5054,57.5733,11.1156,-86.4577
-4.3334,-5.2707,-7.8502,63.7874,18.2722,-73.5487
-4.3646,-5.1752,-8.3821,63.9839,21.5412,-57.7911
-4.0284,-5.0883,-8.0664,60.8167,24.1906,-44.5670
-3.5546,-5.0018,-7.5807,62.7598,17.7846,-40.4854
-3.6859,-5.2642,-7.7187,72.2154,10.7681,-33.4664
-4.1272,-5.4925,-8.4941,73.1116,7.9763,-20.7268
-4.1817,-5.6957,-8.3703,70.4757,7.3291,-2.7185
-4.1977,-5.9812,-8.5343,76.8449,14.5739,8.2823
-3.8467,-6.2503,-7.9945,80.0113,20.9126,20.7517
-3.5284,-6.5361,-8.8199,74.7383,29.9677,38.2733
-2.9868,-6.4308,-7.7681,63.4520,38.2068,55.1074
-2.4429,-6.5560,-7.2862,65.8314,48.4816,67.8749
-1.7510,-7.1188,-7.6390,67.3261,68.4174,71.9433
-1.3028,-7.3340,-7.7881,66.4456,78.5835,69.4737
-2.2367,-7.5148,-7.7753,62.2598,87.0118,89.0593
-1.8274,-7.5204,-7.6982,59.9622,92.4727,96.0513
-1.6127,-7.7474,-7.8721,59.5116,102.4008,104.6919
-0.7781,-7.8665,-8.7049,53.9373,100.1131,98.4359
-0.7976,-7.9399,-9.2524,47.2939,96.3790,97.2111
-0.5633,-8.1765,-9.2051,36.1367,87.4752,100.6857
0.1725,-8.3225,-9.4543,29.0842,78.2425,99.2022
1.2462,-8.5708,-9.5794,21.1782,80.0060,93.3012
1.6792,-8.6466,-10.0441,10.7831,97.1454,80.0792
1.0273,-8.5758,-10.4653,-1.8669,87.3165,82.9107
1.4537,-8.4613,-10.3562,-20.0081,63.9755,78.6002
2.4533,-8.3955,-9.2928,-21.7892,70.1567,77.4331
2.4303,-8.0927,-8.6334,-30.9275,78.6433,62.0483
1.6547,-7.8541,-8.8464,-39.0733,79.9969,55.1261
1.2394,-7.7246,-8.8765,-46.6135,71.0944,54.7743
1.8782,-7.5635,-8.5138,-53.1541,47.4898,51.8525
2.1525,-7.3352,-8.1765,-54.8714,30.8062,43.9885
1.8121,-7.2357,-7.6100,-84.0888,6.2130,23.8739
1.9072,-6.9109,-7.5402,-54.0298,20.0305,20.3382
1.7866,-6.8306,-8.0312,-55.4305,17.6045,16.6133
2.3811,-6.6488,-7.6617,-58.8118,9.0105,4.6364
2.1711,-6.5563,-7.6934,-56.0688,0.5333,-5.7769
2.0270,-6.4100,-7.9134,-55.1039,-6.3380,-11.2690
2.1108,-6.2625,-8.1278,-59.3983,-15.6470,-18.8491
