ax,ay,az,gx,gy,gz
-0.1504,-2.4261,-9.5348,-4.9561,1.3552,-0.6085
-0.4153,-2.4730,-10.3865,-12.9763,-1.1639,0.0179
-0.3766,-2.3533,-10.6764,-28.9804,-4.7794,1.7423
-0.5542,-2.3000,-9.3453,-30.7120,-5.7543,4.7465
-0.4175,-2.1635,-8.6370,-22.1705,-2.5175,6.5741
-0.4552,-1.9680,-8.5338,-12.9556,0.7934,3.2129
-0.5135,-1.8095,-8.9595,-6.0437,2.8695,0.0632
-0.8104,-1.8386,-9.0915,-2.7035,1.8832,1.2124
-0.7413,-2.0260,-8.7809,-0.5736,-0.4059,3.8613
-0.4314,-2.3109,-8.4095,3.1820,-0.4316,4.4517
-0.0602,-2.4733,-7.4809,8.0903,0.8226,2.8742
0.2517,-2.6877,-6.2066,17.7563,0.6051,0.9821
0.0963,-3.3320,-4.5124,37.4921,-1.5467,-0.9930
-0.2969,-4.1733,-3.6222,58.9584,-6.6176,-0.0930
-0.2949,-4.7703,-3.8529,74.7491,-8.9725,4.8593
-0.7551,-5.1548,-3.7373,86.4269,-5.4839,10.9602
-0.0882,-5.3942,-3.3887,111.2622,-4.5173,9.0464
-0.5951,-5.5269,-3.6361,134.2518,-8.0525,2.7636
-0.4510,-5.7008,-4.4665,149.8899,-9.1219,0.6009
-0.1948,-6.1993,-5.6671,160.0740,-14.0994,0.8363
-0.6260,-6.6310,-7.4443,166.6550,-11.2750,6.9571
0.7498,-6.9498,-9.9783,170.1164,-6.1893,-6.5816
0.2570,-7.7710,-12.1939,159.3972,1.6085,-25.5401
-0.8554,-8.2707,-15.4354,137.2615,-2.4962,-29.2058
-1.3671,-8.3283,-17.7222,94.3563,-10.0301,-22.7827
-1.5016,-8.1553,-17.8252,44.7046,-18.7177,-18.8362
-1.3246,-8.1268,-16.9615,15.5920,-19.5612,-11.6181
-1.0698,-8.2192,-16.7964,-9.8161,-11.0458,-12.4129
-1.2334,-8.1292,-17.0218,-37.8385,1.6571,-9.3995
-2.1774,-8.3844,-16.7282,-80.5991,0.4314,3.3059
-1.8730,-8.8288,-16.4097,-123.7448,-10.3826,21.6377
0.7349,-9.0431,-15.5367,-155.2421,-17.2563,17.4254
0.7294,-8.9728,-12.9561,-186.7411,3.2322,-4.1444
-0.0162,-8.0170,-9.6847,-195.6916,12.7331,-8.8071
0.4104,-6.8644,-6.8616,-186.1027,3.5318,-13.6969
0.0442,-6.0053,-4.4704,-167.9571,3.3690,-22.2597
-0.7470,-5.4646,-1.8478,-137.0923,6.5074,-16.2256
-0.3875,-4.9210,-0.0724,-80.3877,-2.9915,-13.5719
0.0869,-4.4252,-1.4493,-40.5450,-10.6065,-5.3087
0.9124,-4.2020,-2.6109,-25.6193,-13.0463,-11.3777
0.2410,-3.9288,-3.3612,1.7727,-13.9749,-24.0344
-0.8560,-3.7509,-6.8986,15.9170,-11.3519,-31.3885
-3.4219,-3.4669,-9.6747,3.4212,-4.5762,-11.3861
-3.8665,-3.2732,-10.3097,-23.9312,-3.3132,8.5426
-3.8216,-3.4353,-10.0206,-48.6389,7.5577,29.2006
-4.8900,-3.1685,-9.5194,-64.8341,17.5731,54.1950
-4.0790,-2.6877,-11.0230,-90.2445,19.4507,79.1868
-4.3383,-2.6952,-10.5291,-124.6322,31.0719,104.7675
-4.8565,-3.4330,-4.8981,-124.0265,29.3736,149.0013
-0.1958,-3.1157,-3.6748,-70.2998,27.7285,173.6822
1.0622,-2.6753,-3.5022,-19.5034,49.8338,154.5468
0.5744,-2.2581,-4.2835,17.9885,61.4531,143.2662
-0.1067,-2.2621,-4.5310,49.8073,37.9637,139.3257
0.9046,-2.4596,-4.1021,90.2852,21.8739,144.0801
2.6238,-2.7226,-7.5593,119.9625,9.5291,119.1657
2.5068,-3.2508,-8.3442,125.7857,6.5560,97.8305
3.1662,-3.8241,-7.6796,141.2528,2.0856,82.4292
5.1748,-4.5708,-9.0692,152.9705,-9.0922,55.0587
8.2705,-5.5480,-9.9275,146.9273,-10.5050,1.8097
8.2286,-6.3229,-8.7736,144.7335,-14.3968,-66.4144
6.9556,-6.5851,-11.0461,132.0171,-58.5568,-130.0178
3.3285,-6.7673,-12.9386,92.7754,-105.9682,-157.4744
1.9314,-6.8858,-14.0489,37.6269,-124.1583,-167.5561
-0.7568,-7.2702,-11.9492,0.2158,-114.6210,-153.5703
-3.6274,-6.5932,-11.1887,-1.0137,-62.5248,-123.8969
-5.2795,-5.6179,-12.4594,-13.6415,-16.2126,-75.9695
-4.8679,-5.1837,-12.0545,-35.6516,-9.2919,-44.0447
-3.5717,-5.1003,-9.7898,-39.9835,-6.7911,-19.2036
