ax,ay,az,gx,gy,gz
-0.7718,-2.0545,-9.5235,0.9642,1.4707,1.2781
-0.5184,-2.1090,-9.1747,0.3377,5.1621,-0.4538
-0.4983,-2.0126,-9.4105,-0.3751,3.4697,-0.4685
-0.5998,-2.0318,-9.3689,1.1536,0.1832,0.0736
-0.6315,-2.0741,-9.3091,3.8271,-1.4195,0.1628
-0.7392,-2.0678,-9.4380,5.3966,0.0080,1.3363
-0.6755,-1.9904,-9.7083,5.8104,1.6719,2.5619
-0.5579,-2.0806,-9.7122,5.8907,2.6711,3.1339
-0.3815,-2.1367,-9.8289,5.9648,4.5017,1.1697
-0.6772,-2.0524,-9.8379,5.0249,1.7740,1.3155
-0.6508,-2.1111,-9.9193,3.3022,0.9836,2.3007
-0.4184,-2.0595,-9.9978,1.8159,5.9377,1.3019
-0.2078,-1.9208,-10.1097,1.3932,7.0659,1.2416
0.0892,-1.9262,-10.3732,2.5737,9.2850,1.5548
0.6166,-1.9024,-10.9478,0.5567,13.8348,0.8786
1.6476,-2.4260,-11.4386,-5.0086,19.8599,-1.7928
3.0289,-3.1213,-11.4351,-10.7633,23.3109,-15.7530
4.5438,-3.5593,-10.8429,-25.3181,22.7874,-35.5536
5.8151,-3.7826,-10.0022,-37.0943,14.4445,-66.1076
5.5717,-3.9002,-7.8178,-37.4386,6.1937,-94.6601
4.1350,-3.6358,-6.8046,-30.7056,-4.5915,-114.4926
2.6989,-3.4096,-5.6609,-21.1143,-13.0976,-130.9818
0.9519,-3.1870,-4.8802,-8.5313,-19.1374,-134.5080
0.2337,-3.2915,-3.6590,4.0198,-24.4909,-133.5929
-1.1816,-3.5060,-3.7149,21.0259,-33.4068,-132.2173
-2.5170,-3.7181,-4.5180,32.2179,-35.0577,-120.4586
-2.8495,-3.8314,-4.4283,42.1924,-26.2734,-109.9635
-4.0364,-3.7784,-4.1766,62.4724,-22.9047,-96.5151
-3.9555,-3.9014,-4.9264,72.1010,-29.0245,-78.1827
-4.4390,-4.0945,-5.5014,80.7791,-40.9849,-69.2025
-5.2798,-4.4277,-6.6551,86.0023,-43.1728,-59.2229
-3.7989,-4.5949,-7.7366,86.2260,-37.2154,-52.0911
-4.2586,-5.1369,-8.3023,116.7458,4.3104,-30.7505
-5.2195,-6.2746,-9.3458,127.6669,18.6413,-14.2091
-6.0917,-7.4909,-10.5995,120.9695,26.7879,19.9373
-5.1536,-8.1102,-11.1790,96.2193,37.7425,45.2408
-4.5066,-8.2731,-10.8592,76.6353,50.1092,69.5968
-3.5432,-8.1622,-9.7638,68.3794,49.8877,75.3681
-4.2087,-8.3341,-10.4431,61.1326,66.9538,99.8763
-3.7906,-8.3305,-10.0708,42.8231,84.1547,126.7399
-1.9731,-8.0236,-9.2195,38.1511,99.6391,128.2824
-1.4258,-8.0024,-9.7367,41.3921,131.1310,154.9436
-0.9947,-7.9853,-10.2075,46.8964,177.5902,175.5408
1.7528,-8.1975,-12.4868,22.6598,164.7178,176.9503
3.3474,-8.3856,-11.5467,4.8397,143.4955,169.9246
4.6245,-8.3798,-10.8787,1.5004,119.8782,158.0673
5.6772,-8.5360,-12.2323,-5.5182,85.8246,134.5093
6.6234,-8.7393,-13.2262,-37.3085,48.4194,108.1082
6.8673,-8.9499,-12.0426,-56.9119,33.0306,84.7905
6.9038,-8.8089,-11.9606,-65.0490,28.3406,57.5999
6.5956,-8.4416,-11.9425,-84.3450,25.4630,35.5276
6.4615,-8.3099,-10.8806,-103.4026,11.3365,5.7978
5.1604,-8.0039,-11.7086,-126.8751,-27.4547,-15.7253
2.6142,-7.8591,-8.9953,-118.8496,-20.1715,-5.9126
3.9840,-7.3981,-7.7255,-130.8296,-15.9670,-35.8952
4.3216,-7.1339,-7.6870,-127.0403,-9.7421,-61.2700
4.8824,-7.0433,-7.1675,-122.2450,-16.7064,-90.3329
4.4774,-7.0677,-7.2086,-120.2527,-24.9988,-121.1582
3.4143,-7.0400,-5.9945,-119.5443,-28.2983,-152.4319
1.6169,-6.3921,-4.2811,-104.9322,-34.5424,-168.0365
-2.4149,-4.9875,-4.1785,-98.4438,-53.2959,-156.8804
-4.4139,-3.4518,-3.5873,-93.6705,-64.5932,-131.1568
-6.7163,-2.1953,-2.7642,-75.7551,-50.8803,-101.1965
-7.6381,-1.2142,-2.6990,-48.6486,-26.0783,-69.5505
-7.5439,-0.9333,-2.8430,-20.4984,4.7798,-51.3111
-8.1749,-1.1183,-4.1048,0.2698,15.9620,-8.2282
-6.3599,-1.7970,-4.9382,10.5563,20.1162,20.2096
-4.3353,-2.5080,-4.7367,26.7034,30.6623,52.8936
-1.1381,-3.0242,-4.9332,46.2362,42.8244,68.2584
1.1050,-3.3910,-4.5561,54.3031,45.5562,67.0803
2.5825,-3.6609,-4.2908,70.4100,37.7921,65.4736
4.8157,-3.8143,-4.6895,81.0336,33.0169,54.8874
7.8683,-4.0368,-4.9691,87.1150,32.0020,14.7231
8.4778,-3.9754,-6.0025,92.0215,23.6323,-45.5973
6.4612,-3.7839,-7.8890,101.6868,-4.3966,-88.9439
