ax,ay,az,gx,gy,gz
0.9853,0.8456,-9.9396,4.4359,-12.2400,6.0860
0.8463,0.8487,-10.2882,-0.1775,-17.4474,1.7964
1.2722,0.9393,-10.2339,-1.8024,-24.1135,-3.0293
-0.1892,0.8053,-10.7339,-3.8820,-29.5898,-3.3478
0.4712,0.7693,-11.0019,-10.7366,-31.5158,-2.0414
-0.0469,0.7261,-10.2758,-15.3606,-31.1863,-1.6481
-0.0254,0.7493,-9.9149,-10.4567,-26.4611,-4.8213
-0.9822,0.8162,-9.3564,-10.2758,-18.6382,0.5333
-0.6137,0.7967,-8.6904,-8.3493,-11.3950,5.2349
-1.0030,0.8494,-7.8664,-7.8356,-2.9074,8.5386
-1.1810,0.7724,-5.8874,-0.5504,-0.4997,14.0258
-0.5199,0.5199,-4.5007,18.4066,-1.1854,13.6802
0.1322,0.0737,-4.3091,33.9153,-5.2516,9.1593
-0.0089,-0.5620,-4.2761,42.0670,-2.7390,7.6134
0.2548,-1.1060,-3.0469,53.5293,-6.6284,11.1288
0.6825,-1.6106,-2.0450,71.4087,-10.9156,6.7954
0.6999,-2.0822,-2.4474,90.4927,-14.3073,-2.2204
0.1622,-2.6214,-3.1463,106.9371,-10.5991,-7.2828
-0.5790,-3.8647,-3.1190,116.3883,-8.7443,-2.4270
-0.9748,-3.9992,-3.9553,131.9080,-9.8186,-2.0123
-2.0342,-4.5425,-6.1062,144.2368,5.4750,10.2070
-1.7094,-5.1131,-7.4923,138.7738,20.0319,32.0967
-0.0818,-5.2336,-8.2311,138.5811,17.9001,16.5291
-0.6531,-6.6127,-7.5741,153.8884,31.0872,23.1058
0.9321,-7.0088,-15.2196,160.7377,23.6897,-1.8421
0.4477,-7.3104,-21.7540,120.9357,15.0564,-13.0330
-0.1110,-7.6667,-23.9419,59.5371,0.0307,-1.6382
2.4762,-7.1861,-23.5474,35.6132,1.4280,-16.5344
1.4856,-6.8162,-25.1799,-9.0993,11.4251,-20.1434
1.2327,-6.5422,-24.6134,-47.5423,21.1350,-22.0429
1.6277,-6.2575,-23.3392,-92.1732,14.9250,-40.5009
0.0531,-5.6658,-20.3512,-141.2472,-0.5695,-34.5684
0.4322,-4.5948,-15.7881,-165.8730,-15.9650,-38.2352
0.4447,-3.7681,-11.7076,-174.4490,-19.6882,-31.0959
1.5591,-3.2721,-8.5972,-170.1482,-33.1396,-38.0336
2.5615,-2.5733,-6.9850,-158.3215,-48.1015,-53.1855
1.5887,-1.6008,-4.4907,-136.6302,-49.6291,-71.1421
0.3776,-1.0900,-3.4263,-112.0255,-53.2294,-76.0109
-1.3318,-1.0913,-2.8154,-81.3724,-60.1833,-74.6184
-4.7638,-1.4146,-4.6269,-80.2186,-52.1182,-45.1930
-6.1006,-1.8170,-5.4687,-63.6591,-47.9819,10.5173
-7.2894,-1.6889,-5.6797,-52.5183,-13.7558,51.9454
-8.9352,-1.6178,-5.3026,-42.4377,10.6943,93.0434
-7.6047,-1.5405,-4.4524,-32.0202,24.5953,129.9218
-5.2715,-1.3657,-3.0393,-10.8897,45.0889,158.1248
-2.3463,-0.8898,-2.4655,16.1473,60.4503,177.6073
0.4082,-0.3403,-2.3755,37.9898,66.0566,167.2356
2.0661,-0.2945,-3.1667,53.2136,64.7469,155.2272
3.0024,-0.3772,-3.3951,65.9304,62.7506,144.7171
6.0374,-0.8423,-3.6531,85.4469,48.5111,119.8828
7.7089,-1.9293,-5.8390,100.2510,32.0555,75.5667
9.4056,-2.3445,-8.0862,102.5588,12.8637,44.4044
11.0373,-3.0773,-9.2799,82.5295,-24.5710,-4.0732
12.6778,-2.8301,-12.5759,53.0226,-61.2563,-78.4913
8.7691,-2.7749,-12.5820,22.1048,-99.3714,-152.7360
5.6176,-2.2545,-14.3739,7.6114,-109.6899,-197.3659
-2.3359,-1.9926,-14.9399,-15.7732,-101.1512,-205.7668
-5.9730,-1.5168,-13.3526,-29.4610,-85.8680,-154.5278
-7.9475,-1.1747,-12.1736,-24.8339,-35.0681,-111.6757
-8.7908,-0.9521,-10.4049,-28.5985,-2.8433,-69.1259
-7.7461,-1.0250,-9.0528,-19.2644,15.2048,-32.8500
-6.4141,-1.1231,-8.4370,-9.8605,18.3819,-9.9446
-5.1579,-1.2025,-8.4398,-12.3988,17.8337,5.9550
-4.6120,-1.2686,-6.6544,-8.5196,11.9677,16.5804
-3.7667,-1.2690,-5.9325,3.4765,1.2463,27.9732
-3.8193,-1.3066,-6.6941,1.3795,-2.3452,42.7061
-3.8748,-1.5896,-5.7552,13.9903,-1.5404,58.1356
-3.4128,-1.7223,-5.7534,35.1507,-1.8946,66.8880
-3.5056,-1.9452,-7.0724,43.5701,-2.2462,67.6731
-3.1276,-2.3277,-6.8192,45.3606,2.2923,83.3694
-2.5421,-2.2725,-6.5484,52.9010,1.4849,90.7106
-1.3842,-2.3946,-6.7029,60.5796,-6.0436,88.3631
-0.9724,-2.5757,-7.8449,74.8462,-19.7447,87.2604
2.0412,-2.9014,-9.9476,84.1895,-32.6985,78.0550
2.0934,-3.0396,-12.5102,63.9671,-60.2753,53.4869
2.6387,-3.1983,-13.9909,57.2696,-88.3177,-0.2487
1.0345,-3.3104,-16.1331,48.9570,-19.4365,18.8747
