ax,ay,az,gx,gy,gz
-0.0144,-0.7954,-10.0342,0.9528,-1.2861,-1.0515
-0.1709,-0.8012,-9.7928,0.8390,0.7355,-2.2236
-0.3572,-0.7459,-9.7602,1.7210,3.1415,-3.0272
-0.4312,-0.6375,-9.7472,1.7769,3.0872,-2.7147
-0.3714,-0.5914,-9.7161,1.6305,2.0963,-1.9581
-0.3044,-0.6019,-9.7498,2.7103,2.9664,-2.5422
-0.3180,-0.6147,-9.6710,3.0977,2.1746,-3.1540
-0.1189,-0.6688,-9.8529,4.2635,1.7753,-4.3668
-0.0858,-0.6385,-10.1010,5.1909,2.8808,-4.6807
-0.0754,-0.6034,-10.2661,1.9352,2.9414,-3.5412
0.3638,-0.6528,-10.1329,1.0613,5.3258,-3.9729
0.8151,-0.6033,-10.2787,2.3995,9.3513,-7.4744
0.9169,-0.6268,-10.4693,2.9741,9.2671,-9.7948
1.0035,-0.6996,-11.1041,-1.6443,8.7699,-12.4040
1.3895,-0.8006,-11.0052,-8.2446,4.1466,-15.0016
1.7621,-0.9906,-10.6344,-10.0278,3.1500,-22.1045
1.6827,-1.0201,-10.7578,-12.1704,2.9642,-28.4289
1.3543,-1.0318,-10.6023,-16.8162,6.2621,-32.5469
1.5176,-1.0797,-10.4338,-18.5382,4.7082,-38.0630
1.4471,-1.0872,-9.7415,-18.5912,4.8486,-45.3577
1.2116,-1.0038,-9.4545,-17.7272,2.7549,-52.8122
0.9767,-1.0570,-9.0637,-15.6553,-2.5458,-56.5790
0.2666,-1.1243,-9.1934,-20.6474,-5.4557,-54.7059
0.3097,-1.1626,-8.6630,-16.9437,-10.9969,-57.1218
0.1309,-1.2096,-7.9851,-12.6883,-12.6959,-60.7805
-0.0181,-1.3060,-7.8220,-6.8224,-11.2223,-65.3552
-0.7314,-1.3502,-7.8724,-3.1398,-6.9270,-66.6696
-1.2429,-1.3850,-7.9991,1.9081,-3.8692,-65.0852
-1.7605,-1.2923,-8.2512,1.1348,-4.3385,-60.2400
-2.1336,-1.0767,-8.2247,1.6701,-9.2458,-52.9172
-1.7172,-0.8815,-8.0758,2.1359,-15.5817,-47.6012
-1.6496,-0.7836,-7.8639,5.2295,-16.8804,-46.2446
-2.0145,-0.6928,-8.2204,11.0967,-15.2897,-44.6933
-2.2087,-0.6134,-8.6216,16.3393,-14.4461,-41.2943
-2.3206,-0.6193,-8.8908,21.2492,-15.7542,-36.9073
-2.2757,-0.6101,-9.2485,24.8045,-16.4854,-34.2766
-2.4337,-0.9090,-9.1748,28.0314,-16.9449,-28.5093
-2.2228,-0.9675,-9.0042,31.2120,-18.6872,-23.3485
-2.6345,-1.0627,-9.5213,33.0254,-18.5375,-21.8431
-3.2046,-1.1179,-9.6723,32.3983,-15.4433,-15.1326
-3.1980,-1.2062,-9.5797,33.7503,-14.7179,-7.2784
-3.7717,-1.3537,-9.6610,34.4147,-12.7856,3.4755
-3.8847,-1.4613,-10.1140,33.4568,-10.8365,13.3178
-3.8951,-1.5532,-10.2280,33.4129,-7.1950,20.3107
-3.7062,-1.6675,-10.4261,32.5103,-4.3973,28.2352
-3.5964,-1.7591,-10.8737,29.2429,-0.8396,35.0551
-3.7227,-1.7927,-10.8789,26.1727,2.3040,43.5007
-3.2947,-1.8348,-11.0337,22.2957,5.4936,49.7694
-2.8276,-1.9726,-11.4094,17.9293,8.3644,54.4553
-2.5783,-2.1571,-11.3399,11.2606,9.5909,60.3659
-2.0959,-2.4207,-11.1739,5.4040,7.8872,66.1738
-1.2355,-2.7043,-11.0301,3.1580,11.2977,67.7261
-0.9824,-2.7940,-10.8720,3.0651,14.3827,65.0140
-0.8673,-2.7807,-10.4518,-2.9568,12.7442,65.9158
-0.9656,-2.6343,-10.0252,-7.9660,7.5403,69.3936
-0.6301,-2.5241,-9.2418,-14.4689,6.4812,71.9154
-0.0644,-2.3103,-7.9503,-9.0061,13.1828,66.8073
0.1175,-2.1244,-7.4307,1.8499,18.6311,59.5485
-0.2799,-1.9524,-7.9299,8.5297,22.7798,53.1621
-0.5964,-1.8984,-8.1257,9.8809,22.2810,53.6135
-0.3478,-2.0815,-7.6964,10.3764,19.5115,54.9733
0.0537,-2.2898,-7.4046,19.8882,19.1682,52.1424
0.2826,-2.2430,-7.6977,24.7265,20.1697,45.8319
0.1518,-2.1840,-7.8028,29.3491,19.1351,42.3095
0.2092,-2.2556,-7.9742,33.4644,16.3210,39.8121
0.3935,-2.2928,-8.2960,39.4430,17.4351,37.0061
0.6108,-2.3277,-8.6344,43.8871,22.4726,32.0963
0.6109,-2.5030,-8.9160,43.7587,25.4042,29.5105
1.6713,-2.8811,-8.7457,45.5199,25.2640,27.3437
2.1047,-3.1640,-9.1389,49.4661,25.4190,18.5156
2.2830,-3.4870,-9.5980,49.4768,27.1666,10.4089
2.3885,-3.5924,-9.3484,49.2281,32.0345,4.6544
2.5515,-3.6430,-8.9379,49.6771,29.8410,-0.6277
2.4607,-3.8245,-9.3998,52.8061,26.3550,-11.1589
1.9376,-3.9284,-10.1369,49.8363,25.2209,-18.3838
1.7439,-4.0994,-10.6693,40.6044,24.2217,-25.0097
1.6323,-4.2049,-10.5469,34.9502,20.1994,-29.2898
1.6656,-4.3017,-10.3311,33.4591,16.9131,-33.1424
1.9066,-4.4007,-10.8791,30.0419,18.2186,-37.5413
1.8612,-4.6043,-10.9560,23.0766,16.0407,-41.9890
2.0391,-4.7977,-10.8425,15.2896,11.0014,-46.3719
