ax,ay,az,gx,gy,gz
-1.0506,-7.0966,-6.3400,0.0426,3.2434,-2.1136
-1.0760,-7.0918,-6.4413,0.7297,1.7369,-2.5619
-1.3915,-7.0438,-6.4644,0.7502,0.4631,-1.1808
-1.1915,-7.0535,-6.6349,-0.1688,-1.0131,-0.2099
-1.0946,-7.0948,-6.6249,-1.3775,0.8020,-1.8888
-1.2923,-7.0594,-6.3357,-0.0039,1.0605,-2.0088
-1.3508,-7.0309,-6.5405,1.3013,0.4469,-1.1715
-1.3712,-7.0599,-6.6364,-0.0339,-0.6402,-0.2904
-1.2093,-7.1233,-6.6630,-0.6494,-0.6934,-0.3192
-1.2775,-7.0938,-6.7398,-0.4729,1.2663,-0.5414
-1.1980,-7.1281,-6.9116,-1.4985,0.8660,0.2132
-0.9041,-7.3291,-6.8273,-1.4851,4.2049,-1.8047
-0.7728,-7.3658,-6.8139,-1.1004,6.3343,-3.5349
-0.8098,-7.2191,-7.0102,-2.5068,1.4916,-4.2654
-0.8275,-7.1261,-6.9328,-5.9746,-0.9411,-5.0197
-1.0189,-7.0344,-6.5129,-6.3007,-1.9090,-3.5918
-0.8905,-7.0037,-6.5390,-3.6487,-3.5585,-4.5410
-1.0699,-6.9626,-6.5464,-3.1836,-3.2033,-6.5203
-1.4295,-6.8656,-6.4860,-2.6192,-2.0083,-6.8020
-1.3593,-6.8760,-6.3755,-2.4367,-4.8625,-4.6803
-1.4870,-6.9089,-6.4785,-1.9005,-5.0287,-5.8592
-1.9613,-6.8731,-6.5887,-1.9401,-5.8957,-5.5274
-2.1126,-6.8645,-6.6152,-2.5459,-3.6275,-3.1194
-2.4725,-6.8323,-6.5479,-2.9555,-1.6291,0.1568
-2.7396,-6.9002,-6.4924,-2.1912,-1.9299,3.7364
-2.8891,-7.0194,-6.5365,-2.7723,0.6479,8.3217
-3.0235,-7.0813,-6.4360,-4.7736,1.0835,12.0850
-3.2297,-7.1462,-6.1309,-3.2518,3.7857,15.5211
-3.6172,-7.0568,-6.1795,-1.8455,6.4204,19.0800
-3.9529,-6.9463,-6.2391,-0.9488,7.6794,26.2703
-4.1729,-6.8879,-6.2917,-0.7184,8.1804,33.9361
-4.0126,-6.9338,-6.2146,0.3005,10.5292,41.0746
-3.8711,-6.8916,-6.2445,4.5414,17.1538,45.4743
-3.7830,-6.8690,-6.3111,7.4932,21.4334,49.1638
-3.6212,-6.8629,-6.4241,9.8900,24.3584,53.1185
-3.6606,-6.8576,-6.4950,11.0543,28.7677,58.1903
-3.4832,-6.8786,-6.3676,11.3069,29.3419,64.6338
-2.7153,-7.0022,-6.0921,13.3883,29.1911,67.5769
-2.1273,-7.1954,-6.0690,16.8297,29.9740,68.3265
-1.9165,-7.3501,-6.4632,17.5246,26.3236,69.3834
-1.2476,-7.5817,-6.7612,15.8623,24.7026,68.8767
-0.7135,-7.6709,-6.7098,15.0744,24.3527,66.9470
-0.1206,-7.6373,-6.6835,14.9717,23.2862,61.2900
0.3631,-7.6152,-6.6097,16.4481,20.6701,51.5790
0.3970,-7.5950,-6.8800,15.2232,16.2153,45.5656
0.7304,-7.6849,-6.9789,12.4599,13.4312,39.9697
1.0705,-7.7869,-6.9434,8.1993,12.4077,32.7697
1.3067,-7.8477,-6.6151,6.3776,9.9353,21.7282
1.5246,-7.7739,-6.6978,4.0512,2.4607,11.4764
1.5479,-7.6004,-6.7393,-0.7100,-0.7240,0.0214
1.7156,-7.4594,-6.4993,-2.5201,-4.0143,-8.7090
1.6181,-7.4004,-6.2512,-1.8915,-8.4424,-22.8040
1.1385,-7.3856,-6.6855,-4.8447,-14.1241,-34.9030
0.7661,-7.4690,-6.8151,-9.3494,-14.2352,-44.8590
0.4076,-7.4935,-6.9127,-12.1955,-14.5323,-54.1311
0.4695,-7.5408,-6.7931,-15.9832,-14.1447,-62.7516
0.3011,-7.6546,-6.2989,-15.8044,-13.4004,-71.7451
0.4358,-7.7922,-6.1167,-11.3498,-9.6903,-84.2589
-0.1186,-7.7547,-6.0902,-6.0792,-2.9456,-97.3725
-1.0711,-7.6965,-6.0423,0.2328,-1.0628,-105.3298
-2.9687,-7.5668,-6.6053,3.1657,-1.2831,-102.0473
-4.6342,-7.3048,-6.9762,0.1179,-9.0838,-80.3838
-4.4901,-7.1660,-7.3169,-5.7732,-16.3180,-63.2503
-4.4183,-7.1367,-7.0519,-9.3395,-16.0354,-49.4366
-4.2428,-7.0933,-6.5776,-8.2718,-10.9073,-41.2007
