ax,ay,az,gx,gy,gz
-0.1595,0.3715,-9.6433,1.8023,2.2381,-4.8938
-0.3641,0.3604,-9.9427,1.0927,6.6476,-1.6872
-0.0796,0.3099,-9.9725,-1.9714,5.0723,0.0102
0.0653,0.2350,-9.6156,-1.0410,1.2002,1.3177
0.4111,0.1822,-9.5859,2.5746,2.2727,0.0256
0.6063,0.2274,-10.0409,3.0438,2.9944,-3.0173
0.0357,0.2022,-9.7984,1.5867,4.3353,-4.3967
-0.2260,0.2296,-9.8834,2.0185,1.2020,0.1965
0.0762,0.2319,-9.8193,2.3167,0.4189,1.7291
0.1475,0.2645,-9.8917,2.2246,1.1610,0.8637
0.1441,0.2487,-9.9090,1.7244,1.5827,0.5193
0.0679,0.2251,-9.6940,2.7476,1.9191,1.0988
0.1759,0.2445,-10.0004,3.4076,-0.2652,1.2030
0.2995,0.2177,-10.1367,1.0571,-0.6285,-0.3572
0.1845,0.2099,-10.1016,-2.5756,-0.6466,-2.1160
-0.0256,0.2039,-9.7303,-1.4079,-1.8761,-0.3290
0.1617,0.2649,-9.8823,0.0262,-3.3347,0.2555
0.1354,0.2258,-9.8592,-2.1429,-2.9035,-0.3127
0.1278,0.1209,-9.4667,-2.0365,-3.4485,1.8215
0.2919,0.0244,-9.1492,1.2934,-2.7381,2.3335
0.0287,-0.0659,-9.2246,1.8175,-1.8232,3.5909
-0.0731,-0.1738,-8.9837,-1.6830,-2.3443,6.9994
0.1226,-0.2312,-8.4643,-3.6659,-1.2872,8.0184
0.1054,-0.2482,-7.6525,-0.4508,-2.3839,6.6958
0.3089,-0.2291,-7.6234,6.6870,-2.8202,3.6828
0.1363,-0.1033,-7.9288,12.4774,-1.6451,2.7790
-0.0101,-0.1052,-7.7132,14.1491,-1.0511,2.5037
-0.0281,-0.1808,-7.5726,20.3356,-2.6693,1.5512
0.0916,-0.3377,-8.4215,26.8434,-2.9760,-1.9467
0.1219,-0.4693,-9.5402,24.8386,-1.0749,-2.4534
-0.3012,-0.5879,-9.1266,22.3129,1.1989,-1.1798
0.1731,-0.7215,-8.5730,27.4615,-0.0460,1.9401
0.5059,-0.7834,-8.6467,31.1117,3.5049,-2.2977
0.7651,-0.8656,-8.6875,28.6864,6.2243,-4.5740
0.2285,-0.9444,-8.8939,32.2734,7.4750,-8.3458
-0.3625,-1.0075,-9.5207,28.1371,11.0915,-5.5053
-0.2172,-1.1680,-9.0007,26.6600,5.6182,-3.2371
0.1200,-1.2693,-9.0099,33.7431,7.1917,-6.1279
0.1937,-1.3327,-9.5034,37.4465,12.3275,-10.1863
-0.6212,-1.4069,-10.0513,35.5061,10.7884,-7.2913
-0.6977,-1.6986,-9.4596,35.9563,-0.8667,-1.5031
-0.4659,-1.9847,-9.4057,47.2625,6.3395,0.5049
-0.6272,-1.9775,-10.3582,47.0405,10.8083,2.6526
-0.6713,-2.0928,-10.6133,40.5035,7.9923,2.6641
-0.8559,-2.1329,-10.9511,36.0902,4.0058,6.2935
-0.1485,-2.2353,-10.7858,28.9814,-1.2051,7.9483
-0.0601,-2.3856,-10.2993,27.5860,-0.6653,6.0778
-0.1978,-2.4857,-10.3622,27.4943,-1.3356,8.1575
-0.4831,-2.5630,-10.4103,27.0786,-4.6370,11.6825
-0.5678,-2.6773,-10.1096,27.4189,-7.0464,15.6560
-0.4257,-2.7055,-10.2118,30.7997,-5.4762,16.9420
-0.6055,-2.7340,-10.2756,30.7540,-4.4721,19.2239
-0.4609,-2.9326,-10.5833,30.0614,-5.1263,20.8062
-0.4207,-3.2364,-10.4954,25.1075,-3.3213,22.1523
-0.0301,-3.2248,-10.2011,22.3777,-0.8330,22.4350
0.2233,-3.2143,-9.5538,29.2153,3.4025,20.9458
0.1686,-3.2131,-10.3710,27.9319,3.1068,18.7096
0.0056,-3.3221,-10.4109,22.5321,-1.6893,20.6015
0.1568,-3.4260,-10.2885,19.7514,-4.3562,18.8676
0.1075,-3.5249,-10.4357,20.3309,-4.5323,20.2430
0.1513,-3.6335,-10.3733,22.1631,-2.6635,19.9894
-0.2750,-3.7660,-10.9680,22.4706,-8.2421,24.3561
0.5610,-4.1126,-11.9624,19.7269,-12.7378,20.7830
0.2626,-4.3571,-11.8798,13.2403,-7.3614,18.6448
-0.0492,-4.3075,-11.0660,14.2419,-0.7545,15.5602
-0.0609,-4.2445,-11.2119,12.9545,3.3916,13.3213
0.0641,-4.2828,-11.1979,7.8060,5.1677,10.1123
0.2666,-4.3845,-11.5525,-3.7258,2.2918,5.2530
0.2520,-4.4365,-10.5612,-12.5289,1.4004,3.3195
0.6756,-4.3448,-9.5155,-9.8780,3.0267,-2.9291
0.8153,-4.0922,-9.5231,-6.8423,7.0035,-12.2432
0.1966,-3.9514,-9.6211,-4.8757,3.6545,-15.1484
-0.6114,-3.9674,-11.2825,-18.0442,-3.4102,-7.3690
-0.3711,-3.9478,-10.9321,-30.7440,-10.6045,-3.7679
0.1107,-3.9890,-9.7323,-32.6359,-14.2257,-5.2432
1.1207,-3.8152,-9.6295,-21.6716,-4.4973,-17.7581
1.2316,-3.6885,-9.8335,-16.9297,6.2436,-34.7498
0.4804,-3.6236,-9.5602,-15.2537,5.2909,-40.4147
-0.2824,-3.4998,-10.0422,-15.6827,-6.0887,-34.3234
-0.7617,-3.4852,-10.1274,-22.1756,-19.0461,-28.6965
-0.7651,-3.3986,-10.2218,-32.5142,-25.2554,-20.2198
-0.7232,-3.2605,-9.7349,-36.5014,-26.3351,-12.9694
-0.3262,-3.1680,-9.0744,-31.8500,-23.0557,-11.0118
0.0623,-2.9757,-9.2957,-28.3976,-21.4980,-14.3634
0.3004,-2.8184,-9.4846,-31.3230,-17.4642,-19.7432
-0.3194,-2.7559,-9.3119,-33.2035,-12.2345,-21.2515
-0.8629,-2.5091,-8.7851,-35.0055,-6.6132,-18.4376
-1.2491,-2.1919,-7.7628,-33.1935,-4.5452,-11.9231
-1.4719,-1.8064,-6.5263,-26.1083,-5.5347,-5.4956
