ax,ay,az,gx,gy,gz
0.2425,-6.9707,-6.7093,-1.0637,-0.3654,-0.7803
0.2569,-6.8948,-6.5969,1.9755,-1.3427,-1.6943
0.1502,-6.9135,-6.7626,3.3533,-1.5630,-3.1959
-0.4224,-6.8605,-7.0590,0.3611,-2.8308,0.0842
0.0614,-7.0123,-7.0011,-0.8716,-3.0402,0.7993
0.1964,-7.1303,-6.6957,1.3354,-0.6368,-1.5715
0.1146,-7.1023,-7.0670,2.2557,0.0666,-1.8405
0.0763,-7.0624,-7.1023,-1.9723,0.5993,-3.0433
-0.0571,-7.1012,-6.6553,-2.7273,3.0873,-3.2690
-0.0756,-7.0130,-6.8924,0.0491,2.7285,-3.0638
-0.0656,-7.0095,-7.0876,-1.7544,2.0800,-3.4458
-0.1942,-6.9678,-6.9751,-3.4835,1.1054,-0.4367
0.2099,-7.0117,-6.8900,-2.7807,0.1697,2.4465
0.4571,-7.0840,-6.9886,-1.8266,0.8933,0.2640
0.3307,-7.1300,-6.9271,-2.5850,-0.1676,-1.4473
0.1335,-7.1570,-6.8853,-3.3504,-2.4020,-0.4845
0.0752,-7.2685,-6.5171,-2.4327,-1.8581,-0.0592
-0.0316,-7.2697,-6.5291,-1.5196,-3.2011,-0.7330
-0.4976,-7.2097,-6.2918,-2.3786,-3.7776,1.1063
-0.7955,-7.1224,-6.0130,-3.0575,-5.0607,4.4092
-1.5594,-7.0387,-5.7868,-0.7988,-6.1192,12.8042
-1.6386,-6.9564,-5.6853,-2.9769,-5.9502,17.9568
-2.2637,-7.0216,-5.0570,3.7853,0.5235,27.1722
-1.0342,-7.2204,-4.6025,8.8361,2.4249,29.9537
-0.6920,-7.3082,-4.5513,16.4936,3.5608,21.1978
-1.2128,-7.1702,-4.7096,21.1420,4.6028,18.1776
-1.3883,-7.1557,-5.1155,22.1908,-1.3891,15.5850
-1.6426,-7.3458,-5.1703,21.3436,-5.9648,14.5535
-1.8792,-7.4359,-5.0366,20.8801,-7.4062,16.5876
-1.4258,-7.4804,-4.9833,24.2361,-9.7498,18.2821
-1.2685,-7.5067,-5.3339,28.3110,-7.0998,14.8258
-1.8139,-7.4711,-5.4128,28.4572,-5.0338,18.7612
-1.4777,-7.4396,-5.2080,30.5385,-7.3308,25.0476
-0.8886,-7.6432,-5.0631,36.1293,-10.4364,23.8399
-0.8473,-7.7617,-5.6509,33.3382,-6.2771,26.9841
-1.0066,-7.8117,-6.0259,37.4961,-6.0552,24.7368
-1.1363,-7.7970,-6.3164,36.8746,0.0181,24.5592
-0.6202,-7.8632,-6.5414,38.3974,6.0593,27.3967
-0.2823,-8.0826,-6.7981,38.3290,12.8885,24.6481
-0.0499,-8.2535,-7.1163,37.0795,19.3991,21.1942
-0.1246,-8.2898,-7.2487,34.2221,25.3614,20.5786
-0.1140,-8.1774,-7.3446,30.8091,26.8908,19.8700
0.2476,-8.2451,-7.5240,25.7422,26.4034,15.5841
0.2819,-8.3585,-7.2957,21.1129,24.0600,9.5375
0.1314,-8.3229,-7.4353,15.6463,22.5796,4.1813
-0.4760,-8.1992,-7.1019,8.0341,18.9560,3.3567
-0.5448,-8.1904,-6.6091,3.2351,15.7018,2.9443
-0.4252,-8.2992,-6.1046,3.3487,13.4376,2.4009
-0.3604,-8.3426,-6.1056,2.5931,9.7971,-2.1987
-0.7466,-8.2618,-5.8726,-1.9645,7.2949,-4.0710
-1.0789,-8.1519,-5.4053,-4.0308,3.6018,-1.9077
-0.7040,-8.0851,-5.2799,-3.3356,1.6688,-4.0395
-0.7047,-8.0758,-5.1349,-2.2160,-0.3648,-8.5546
-1.1458,-8.0347,-5.2357,-1.3069,-3.2813,-9.8453
-1.3415,-7.9952,-5.2067,-2.5890,-6.6334,-10.0638
-0.9468,-7.9997,-5.2700,-1.4553,-8.7259,-11.7945
-1.1903,-7.9352,-5.6468,0.3023,-13.9840,-18.1310
-1.4082,-7.9211,-6.0128,-0.7264,-18.6471,-20.3993
-1.9761,-7.9529,-5.9625,-0.3349,-19.7860,-16.1597
-2.3606,-7.7985,-6.2335,-1.9915,-21.2928,-10.0474
-1.9920,-7.7745,-6.3989,-3.1986,-18.7735,-6.1823
-1.5975,-7.7851,-6.3005,-4.3953,-14.1042,-9.0278
-2.5384,-7.6251,-6.1749,-3.7757,-12.6678,-8.2634
-2.8436,-7.4317,-6.3065,-7.4067,-13.4029,5.3595
-1.7865,-7.8187,-5.8056,-7.7135,-13.7796,12.4237
-1.3861,-8.2148,-6.1509,-7.0769,-6.4694,10.0081
-1.0856,-8.1822,-5.8071,-10.5326,-5.0359,6.5602
-1.2628,-8.0107,-5.2870,-8.3672,-5.5192,2.7859
-1.7684,-7.9627,-5.0830,-1.9420,-2.5083,3.7288
-1.7362,-7.8513,-5.1027,0.5301,1.5136,3.7667
-1.9914,-8.0174,-5.2747,4.4641,3.2404,5.8471
-1.9373,-8.0028,-5.6198,0.8031,0.6820,11.4797
-1.4691,-7.9970,-5.0771,-1.7073,1.1392,15.6596
-1.3088,-7.9197,-4.3396,5.0491,4.5666,12.5179
