ax,ay,az,gx,gy,gz
0.2381,-0.5491,-9.8382,-2.1835,4.2118,0.0601
0.4914,-0.6686,-9.5420,-0.8304,0.5206,-0.2640
0.3127,-0.7479,-9.4990,0.1295,-2.7604,-2.3318
0.0831,-0.7939,-9.5972,-0.2472,-4.7824,-1.6372
0.0033,-0.8409,-9.3711,0.0665,-4.1961,-0.6022
-0.3455,-0.8222,-9.2639,1.4979,-2.0240,0.1890
-0.6975,-0.8292,-9.1895,1.8988,1.4956,2.7376
-0.9701,-0.8377,-9.1916,1.2154,9.7661,6.8285
-1.0612,-0.8872,-8.7948,-1.0375,14.9113,10.6900
-1.1407,-1.1000,-7.6025,4.9784,18.3073,17.0313
-1.0427,-1.3316,-7.0071,13.5256,21.5552,21.4511
-0.4793,-1.6744,-7.4588,17.7694,21.8359,22.1139
-0.5893,-1.9751,-7.2668,17.7721,16.7212,20.7759
-0.3594,-2.1437,-6.0696,25.8655,10.8929,13.9635
-0.1757,-2.2771,-6.8351,46.9143,24.1686,21.2842
-0.2870,-2.5203,-7.1339,50.1474,29.3665,22.5954
-0.0172,-2.7929,-7.2154,52.1924,25.1125,23.2435
0.3379,-3.0713,-6.2393,62.4472,15.2432,33.3640
1.0037,-3.1216,-7.6316,75.0835,6.4272,32.4174
1.2254,-3.2136,-9.1827,76.4866,-0.1152,35.9605
1.7371,-3.3194,-10.3530,79.2787,1.2014,40.9528
2.2981,-3.4508,-12.5735,72.9716,4.4227,40.2417
3.1120,-3.5579,-13.4455,60.3045,6.9267,31.1499
3.2197,-3.6552,-13.4409,52.5669,6.3635,9.8724
4.1990,-3.8524,-14.2690,33.8935,19.1210,14.3457
3.7819,-4.2680,-13.8060,25.6628,37.1786,14.2711
3.7513,-4.6092,-13.6218,20.4070,46.8502,10.2374
3.5519,-4.7218,-13.6494,11.9514,48.6753,5.3027
3.1700,-4.8618,-13.3665,6.0160,47.4206,2.6649
2.8595,-5.2056,-14.2883,-0.9397,31.4952,-0.4499
2.4191,-5.4721,-15.7242,-30.0076,6.4872,-8.2221
1.8663,-5.4657,-15.1371,-46.5889,-6.0764,-12.0733
1.4994,-5.0886,-15.1427,-57.2748,-4.4580,-19.8014
0.9126,-4.7080,-15.1276,-70.7569,-6.5959,-20.5581
0.4860,-4.1100,-14.8450,-90.1144,-2.5152,-23.4302
0.2673,-3.4311,-12.8279,-110.5030,2.9018,-15.0898
0.2033,-2.8383,-10.6393,-119.7534,6.5744,-5.2383
0.9184,-2.2855,-7.5123,-112.6020,10.0167,8.8392
2.2922,-1.9589,-5.4958,-97.9551,18.5093,10.8578
2.9050,-1.6445,-3.5870,-76.4483,29.1800,0.4075
2.2499,-1.1247,-2.8852,-42.0122,26.2185,-8.7661
2.0814,-0.9985,-4.1878,-33.1997,10.7098,-6.5576
2.6771,-1.0837,-4.4641,-39.0080,-7.2201,-6.6483
2.5251,-1.1436,-3.9603,-30.7820,-24.3433,-10.2669
2.2312,-0.9109,-4.2497,-21.0183,-32.6737,-14.0249
2.0682,-0.6513,-4.8316,-10.1790,-43.5749,-25.1298
1.4414,-0.3952,-4.6857,-8.3951,-47.9123,-37.9779
-0.3063,-0.0167,-4.1522,-1.1945,-49.5117,-42.2892
-0.5551,0.1714,-3.8448,8.0770,-47.3242,-33.7205
-0.0807,-0.2552,-3.9213,22.9774,-36.4226,-33.1772
-0.6958,-0.6785,-4.1996,44.4165,-24.4984,-28.9149
-1.4794,-1.1034,-5.2756,51.8931,-17.7308,-17.4406
-0.9959,-1.3934,-5.6202,54.7415,-10.9918,-9.5455
-1.0514,-1.3504,-5.9215,63.8408,-13.2418,-5.0553
-1.6843,-1.3995,-7.1277,66.4498,-26.0227,-2.5944
-1.7488,-1.5631,-8.0226,64.8325,-31.6139,10.3547
-0.9245,-1.7205,-8.6034,65.9592,-33.7121,17.9095
-1.5819,-2.3824,-9.6010,72.0132,-33.9568,23.7393
0.2974,-2.8100,-12.8794,94.4001,-47.6259,24.2466
1.1115,-3.2683,-14.1666,84.9311,-69.5866,14.4594
0.4470,-3.5285,-14.3848,65.5266,-71.7915,20.4278
-0.2496,-3.8481,-14.6820,66.1933,-59.6030,28.5768
0.4875,-3.6756,-14.2931,70.4204,-62.9722,-14.2063
-0.4986,-3.8375,-14.8789,50.0590,-14.9154,6.3667
-0.4558,-3.5705,-14.1525,42.7161,23.0880,9.6212
-0.2630,-3.5536,-14.3273,30.1848,41.1173,14.8780
-0.5869,-3.5267,-14.2269,10.6155,35.8573,11.9540
-0.9318,-3.6572,-13.6222,-1.8492,29.8025,10.3691
-1.2189,-3.6803,-13.6294,-14.6062,21.0291,11.4244
-1.2726,-3.8422,-14.3757,-30.9776,13.9135,11.7179
-1.7349,-3.9326,-14.5487,-45.5419,14.3277,10.4859
-1.8323,-3.9225,-14.0124,-52.8120,28.9071,8.8156
-2.9661,-3.7196,-13.5656,-55.5361,41.2409,18.5194
-3.4172,-3.2556,-12.7482,-69.6436,34.1784,37.1321
-2.6919,-2.7541,-12.3970,-82.8856,40.3037,43.4421
-2.9162,-2.3269,-11.2314,-87.1851,54.6687,51.0105
-3.4838,-1.9033,-10.0271,-79.9604,64.4727,79.3106
-2.6752,-1.6051,-9.7756,-76.4957,55.5607,96.8509
