ax,ay,az,gx,gy,gz
-0.9639,-6.2574,-7.1373,-0.3672,-4.9756,-3.6679
-1.2173,-6.1585,-7.0957,2.1261,-2.6292,-5.7514
-1.8223,-6.1278,-7.0129,2.2753,-5.1517,-2.4499
-1.5675,-6.2107,-7.0779,-0.2786,-12.3511,-1.3892
-1.5583,-6.4051,-6.7176,2.7515,-11.9281,0.1709
-1.7419,-6.5573,-6.4331,5.0951,-10.9590,-1.0207
-2.1579,-6.7274,-6.0346,8.8936,-12.3436,-2.4221
-2.8507,-6.8527,-5.8790,12.5124,-16.2664,-0.4087
-2.8007,-6.9371,-6.0187,12.5193,-15.7619,1.3197
-3.0344,-6.9621,-5.5672,12.9013,-12.3580,1.8388
-3.5597,-7.2169,-4.8055,17.4789,-12.5631,4.8271
-3.3335,-7.2636,-4.9605,21.9134,-12.1389,7.4491
-3.8112,-7.0776,-4.6678,24.3943,-11.3801,12.2435
-3.9206,-6.9603,-4.6493,29.0062,-12.3004,20.0519
-3.4743,-7.1010,-4.9099,30.5462,-9.9691,22.9059
-3.0316,-7.1944,-4.6823,33.6456,-4.8689,23.1563
-2.6278,-7.0212,-4.8395,41.2853,-2.5867,24.8154
-2.0954,-6.8342,-5.8270,48.2870,0.9345,24.6326
-1.9239,-6.5552,-6.8827,48.2911,1.3240,28.0581
-1.5330,-6.7352,-7.4208,44.4994,-0.6284,32.3715
-1.1786,-7.2102,-7.8713,46.2783,-3.6391,36.9116
-0.1847,-7.4799,-8.7680,43.9093,-2.2238,33.3653
0.6430,-7.5642,-9.0844,35.6751,5.2094,25.6742
1.1741,-7.5919,-8.8703,26.7089,11.4545,13.7630
0.8523,-7.5770,-8.5143,20.0224,16.6790,1.4370
0.2459,-7.4703,-8.0441,20.1015,20.4436,-3.1723
0.2121,-7.4479,-8.4766,19.3743,18.2325,-8.2517
-0.2134,-7.3324,-9.0030,10.4447,12.1264,-10.0198
-0.4979,-7.4853,-8.5700,-0.0206,1.4781,-10.2175
-0.4988,-7.7219,-8.4553,-6.4184,-5.4141,-11.8135
-0.5798,-7.8823,-8.7929,-15.7077,-11.9076,-13.8394
-0.5054,-7.9289,-8.6996,-26.0631,-19.5912,-17.3008
-0.5306,-7.9589,-8.1726,-31.8272,-23.1120,-24.0730
-0.6731,-7.7346,-8.0666,-31.2124,-22.5319,-32.2468
-1.0065,-7.4206,-8.6123,-32.6116,-20.3623,-42.0320
-2.2254,-7.1285,-8.9072,-37.0038,-16.2958,-45.8411
-3.4164,-6.9835,-8.7710,-46.0008,-19.5248,-31.8041
-3.3630,-7.0670,-8.6707,-54.8069,-29.2392,-17.4522
-2.3678,-7.1232,-8.5184,-61.7669,-31.2499,-9.4236
-1.7874,-7.0448,-7.5386,-64.6205,-23.9154,-11.7505
-1.8014,-6.8176,-5.8406,-56.9048,-10.6287,-18.4085
-2.2651,-6.6667,-5.0641,-38.6195,-0.5372,-17.7701
-2.0692,-6.6729,-5.2680,-29.4473,1.1178,-15.8301
-1.8588,-6.6697,-5.2973,-27.8631,0.2589,-14.1732
-2.1525,-6.6136,-4.1477,-22.0064,3.7527,-10.6900
-2.3990,-6.7238,-3.5261,-9.1813,3.8783,-6.2694
-2.0563,-7.0732,-4.7886,-5.5535,-0.5815,-0.4222
-1.6116,-7.2294,-5.3688,-10.3479,-3.6626,2.6209
-1.4346,-7.1619,-5.1213,-10.8647,-0.9266,1.2185
-1.4996,-6.9939,-4.7001,-5.6332,3.4496,-1.6576
-1.4189,-6.9933,-5.2241,0.3259,6.0759,-2.8863
-1.6519,-6.8432,-5.5132,2.5705,8.5539,-3.2487
-1.5486,-6.8296,-5.9078,2.5785,6.5474,-1.2855
-1.3520,-6.9625,-6.1224,-0.3265,3.6837,-0.4622
-0.9337,-6.8627,-6.1041,-1.1452,2.7551,-2.3685
-0.8422,-6.7567,-6.0305,0.0042,2.6806,-6.2459
-0.8980,-6.6914,-5.9609,6.3201,4.1262,-6.8615
-0.5802,-6.7462,-6.2645,10.1819,5.4600,-5.8419
-0.6813,-6.8947,-6.5381,12.3928,5.6114,-2.2330
-0.1280,-7.1844,-6.8688,10.7436,5.2080,-0.6285
0.3313,-7.2160,-6.8880,5.7883,9.5151,-1.5074
0.5775,-7.3122,-6.1436,5.7555,12.5776,-9.3594
0.8454,-7.3044,-5.9627,11.2217,14.9342,-18.8901
0.7532,-7.1341,-5.9396,17.3585,23.7535,-23.3145
1.0767,-6.9050,-5.8008,19.9267,25.3659,-35.5276
0.5023,-6.6900,-5.3479,22.5923,18.5894,-42.0729
-0.3371,-6.5064,-6.1705,27.1090,2.3637,-37.3856
-0.5299,-6.4478,-6.7773,20.2659,-8.3071,-35.6049
-0.9408,-6.4504,-7.1023,15.3092,-5.0927,-30.8924
-1.5971,-6.5609,-6.6985,12.5784,-8.1550,-28.0900
-1.6997,-6.6222,-7.2208,14.7794,-10.0057,-24.1511
-1.1815,-6.6552,-7.7052,11.9039,-14.6196,-25.9978
-1.5056,-6.7289,-6.7223,11.3078,-9.5853,-28.5450
