ax,ay,az,gx,gy,gz
-0.1941,-0.6824,-9.7915,9.6567,0.3593,0.7141
-0.1157,-0.6439,-9.8490,4.2179,-0.5065,2.9044
0.0020,-0.6977,-10.1513,-0.1800,-0.1766,1.6685
0.2015,-0.6730,-10.2861,-2.9414,0.0811,1.3032
0.3212,-0.6920,-10.3224,-4.3773,0.7316,-0.4016
0.2824,-0.7255,-10.4290,-6.2131,-0.0212,-1.3750
0.3967,-0.6956,-10.5406,-10.2311,-0.2364,-3.4482
0.3902,-0.7125,-10.3862,-14.6537,-1.1228,-6.3805
0.2494,-0.7394,-9.6419,-18.0150,-7.5027,-7.2943
0.0809,-0.6406,-9.4523,-18.1301,-9.2825,-10.3554
-1.1819,-0.3391,-9.0196,-17.6702,-13.1096,-10.6882
-2.1800,-0.1586,-8.2423,-11.5443,-10.2911,-4.7092
-2.6664,-0.1070,-7.7313,-6.3251,-7.8209,3.8655
-2.6439,-0.2593,-7.2081,2.7902,-6.7538,10.6912
-2.4188,-0.5447,-6.9539,11.7277,-8.5209,16.7368
-2.2514,-0.8600,-6.5127,21.1003,-8.2546,21.5025
-2.1243,-1.0603,-6.0576,30.2665,-3.0909,24.7475
-2.3734,-1.1804,-6.2598,39.7722,1.3661,30.6327
-2.1469,-1.4500,-6.0550,48.4015,1.3272,36.0512
-1.6793,-1.6178,-5.9649,58.6207,4.1777,39.0079
-1.0236,-1.6039,-6.1970,69.5991,5.5226,40.0579
-0.7627,-1.5062,-7.5341,77.7606,2.8545,41.4030
1.0470,-1.9398,-10.0746,84.9698,2.8045,34.1829
2.3721,-3.3975,-13.0563,90.7465,16.9884,27.6855
2.6660,-5.4903,-15.5250,59.4531,17.1949,12.7087
3.4399,-6.3057,-17.5388,20.1115,13.5681,-11.0789
2.3676,-5.4084,-16.4585,-6.9641,17.6464,-36.7285
-0.6006,-4.0861,-16.1814,-27.9791,24.0318,-43.8152
-2.1734,-2.7963,-15.5553,-47.5099,24.3808,-29.6493
-2.2863,-2.0440,-14.7674,-69.2740,29.1981,-14.1081
-1.9682,-1.4940,-13.3474,-79.7461,45.9508,-6.4493
-2.9107,-0.5490,-12.8198,-85.0929,50.3406,5.2805
-3.9599,0.0691,-12.2814,-96.2821,38.9792,27.2283
-3.2162,0.2660,-10.7792,-102.8837,30.0753,49.4905
-2.1307,0.4683,-8.8271,-96.9966,30.1151,63.4483
-1.5720,0.6438,-8.2233,-84.8758,28.6558,80.1289
0.1775,0.7799,-9.2337,-97.7131,10.3308,95.5748
1.6458,0.5863,-6.7599,-113.8636,0.8901,103.6594
3.5670,0.2470,-2.8970,-98.7521,-3.1614,101.7341
4.8069,0.2590,-1.7491,-58.5575,3.0240,86.5956
4.9804,0.0304,-2.7590,-25.2418,0.9331,69.8666
5.5422,-0.5620,-3.2789,-9.7943,-8.4549,51.0718
5.8752,-1.4057,-2.8807,8.9544,-12.0216,35.4590
6.8894,-2.0151,-3.4801,30.9131,-13.8201,13.5679
7.3967,-2.6264,-4.4447,48.5012,-11.3325,-12.3387
6.9791,-2.9878,-5.2406,57.5646,-10.3005,-44.0577
7.1356,-3.1777,-5.3152,65.3856,-26.1169,-66.7938
7.7511,-3.4838,-6.2238,70.6470,-42.1461,-104.5007
5.7024,-3.3837,-6.7207,80.6642,-46.4588,-143.3174
2.0403,-2.8367,-8.6531,87.0524,-51.1250,-168.1611
-4.5891,-1.9967,-11.1595,87.0231,-65.2046,-165.0223
-8.7858,-1.2100,-14.8913,73.9035,-54.0318,-125.0817
-9.0811,-0.8625,-16.0044,51.1498,-21.0943,-82.9317
-8.2362,-1.0210,-15.2918,36.6172,-0.5287,-48.6272
-6.4391,-1.5105,-15.4434,23.4169,9.7615,-28.7400
-4.7241,-1.7485,-14.3050,19.1340,29.9141,-11.8075
-2.9958,-1.8749,-14.0019,6.4293,33.9286,-8.2314
-2.1266,-2.2047,-13.5730,-5.1165,29.6673,0.9889
-0.7520,-2.3186,-12.8404,-12.8715,21.7339,4.2782
0.1810,-2.1997,-11.9727,-17.7274,14.6154,4.4068
0.7395,-2.1092,-10.9474,-25.1808,3.3114,2.1398
0.7399,-1.8282,-9.8104,-31.0125,-8.3515,0.7321
0.7372,-1.4196,-9.2197,-27.8958,-14.1722,0.2984
0.7073,-1.0669,-8.5409,-26.2342,-19.2278,-0.8436
0.5686,-0.8631,-8.0633,-23.8029,-22.1244,-3.9954
0.1013,-0.7417,-7.6169,-19.7587,-20.1159,-4.4065
-0.1537,-0.6877,-7.5430,-13.6819,-16.7457,-0.3132
0.0963,-0.7439,-7.4329,-11.6433,-11.5271,3.5072
0.2909,-0.8499,-7.1759,-7.4604,-5.4888,3.1728
0.0744,-0.8863,-6.7019,0.5683,1.6765,4.6835
0.5098,-0.9238,-6.7409,8.3148,5.7497,4.1887
0.4929,-0.9878,-6.5058,11.7342,5.3895,3.9919
1.0048,-1.0737,-6.3344,17.0145,2.4222,2.7334
1.2402,-1.0301,-5.8052,25.3533,1.1151,-4.5110
0.2879,-1.2346,-5.1336,36.5108,-3.3247,-8.2785
-0.3993,-1.3967,-6.2293,42.5939,-0.8764,-4.5934
-0.7247,-1.6398,-5.1870,49.0184,-0.4502,0.9191
-0.3959,-2.0017,-4.4669,63.7132,1.9110,3.0703
-0.9826,-2.4482,-4.7019,80.6871,0.3638,8.0988
-1.0230,-3.1042,-5.9250,90.2647,-4.3823,18.0656
-0.2092,-3.5986,-7.5383,89.9029,-2.0981,23.0849
0.5295,-4.2103,-7.7739,88.6631,-4.2238,24.8292
1.0972,-5.2057,-9.4525,88.8863,-17.4190,19.1589
1.6199,-6.1031,-11.8291,91.7990,-16.0520,10.4962
0.9288,-6.2845,-14.8120,85.2449,-10.0710,-0.0735
-0.1357,-6.0800,-15.7078,66.5787,-19.4926,0.3572
-0.2077,-6.0101,-15.9086,45.5801,-14.9804,1.0343
-0.8213,-5.5415,-15.8617,35.2019,2.0725,-0.2136
