ax,ay,az,gx,gy,gz
-0.4090,-6.0643,-7.0926,0.1289,-1.8155,-1.5669
-0.6420,-6.1278,-7.3142,3.2929,0.0191,-1.5436
-0.4380,-6.2568,-7.4946,1.0115,1.7606,-1.7872
-0.4173,-6.2707,-7.6413,0.2301,1.9899,0.5604
-0.0979,-6.3194,-7.3625,-0.9659,1.1960,0.7359
0.1358,-6.3590,-7.3380,1.7615,3.1140,-3.0298
-0.0997,-6.3344,-7.5819,1.7930,3.3713,-3.5587
-0.2020,-6.4168,-8.1716,-1.8192,0.0598,-1.9146
0.1319,-6.5620,-7.9193,-8.8200,-0.1620,-5.3488
0.2071,-6.5333,-7.3204,-8.1915,2.2786,-7.9797
0.2629,-6.4988,-7.1743,-4.3167,3.9662,-11.6818
-0.2681,-6.2748,-7.6089,-3.4072,1.3923,-8.2656
-0.2575,-6.0992,-7.7358,-4.4784,-2.9615,-7.0329
-0.3253,-5.9227,-7.2935,-5.4525,-5.6211,-7.9754
-0.6577,-5.7862,-7.0743,-0.7402,-3.9397,-8.6033
-1.2856,-5.7261,-7.1916,-0.1718,-6.0946,-5.7763
-1.7717,-5.8434,-7.0165,1.7403,-5.7297,-1.7854
-2.6193,-5.9131,-7.5548,1.8688,-5.4581,2.8371
-3.4982,-5.9668,-7.7430,-1.0304,-0.8823,8.5118
-4.0554,-5.9334,-7.7084,0.7664,5.8696,16.4597
-4.3462,-5.9979,-8.0231,1.2706,11.8858,24.6377
-4.3755,-6.1475,-8.0735,-0.0882,16.4712,33.0336
-4.4678,-6.3597,-8.1597,-0.5025,22.4262,40.0833
-4.7409,-6.4845,-8.4505,-3.1119,27.5353,53.2988
-3.7574,-6.6350,-8.4596,-9.7558,31.7176,60.7909
-3.0636,-6.6892,-7.7371,-8.0581,42.1063,62.8446
-2.6693,-6.6012,-7.7839,-7.0032,46.0713,65.8956
-1.7489,-6.5662,-7.9523,-8.9017,45.0779,68.3319
-1.0801,-6.5897,-7.2471,-10.4579,44.7669,69.0483
0.9466,-6.8238,-6.2865,-5.3028,42.9572,64.6129
2.1824,-7.1965,-5.8898,-0.0484,45.6933,55.0507
3.1697,-7.4226,-6.5475,7.7322,41.8928,45.7668
3.9976,-7.5356,-6.6708,4.7587,23.9008,40.1762
4.3213,-7.4249,-7.0945,0.4567,12.7380,32.0510
3.9199,-7.0092,-6.4937,-8.5045,-1.4397,23.1282
3.4835,-6.4692,-5.9896,-8.2346,-24.2350,24.8042
3.0995,-6.2371,-6.2241,-6.3570,-40.3015,16.8729
2.0506,-6.0813,-6.8851,-9.0660,-53.0164,13.0428
0.7804,-5.9934,-7.0386,-11.5348,-67.0530,15.7758
0.1020,-6.0160,-7.3590,-15.2988,-71.9636,14.0393
-1.1706,-6.2959,-7.5815,-24.3831,-93.3898,26.2878
-0.8039,-6.5830,-7.6903,-36.6380,-106.6777,35.3761
0.2007,-6.8529,-6.3274,-38.4794,-107.7500,43.2913
1.0125,-6.7499,-5.6727,-33.9436,-99.4942,28.4856
0.1886,-6.4784,-5.0175,-21.2225,-87.0211,14.7130
-0.1968,-6.3070,-5.4051,-16.4139,-88.2961,2.5737
0.0100,-6.3079,-5.3893,-13.6576,-91.0794,-9.3794
-0.0604,-6.1844,-5.6049,-10.4957,-89.9951,-31.2053
-2.0622,-6.2131,-5.6014,-6.8773,-94.2421,-41.0275
-1.7551,-6.2533,-5.6230,-8.0086,-102.7177,-49.0240
-2.1516,-6.2923,-5.4587,-4.6654,-95.0052,-69.1913
-3.6435,-6.2531,-5.4251,-0.5113,-82.3268,-87.2046
-5.1621,-6.1568,-5.2071,4.1762,-74.7954,-88.9770
-4.9076,-6.1704,-6.1519,0.9414,-84.1482,-95.8358
-6.8263,-6.1902,-6.3175,-11.5992,-78.8077,-89.7138
-9.2206,-5.9906,-6.0347,-12.6691,-65.1343,-75.0550
-9.8909,-5.4559,-6.3861,-15.4551,-57.5021,-66.1878
-9.7945,-5.2489,-6.0909,-15.5521,-46.0358,-58.0655
-8.9724,-5.3193,-6.3451,-16.0965,-31.1472,-52.0520
-10.5097,-5.4164,-6.3742,-15.9337,-25.1811,-36.8464
-9.4817,-5.5761,-6.3598,-12.2443,-19.5197,-21.1865
-7.8164,-5.6973,-6.1841,-4.5805,1.9944,-23.5960
-8.1392,-5.6533,-5.7194,5.3810,29.8584,-23.7539
-8.3340,-5.6790,-6.4307,5.3827,29.9866,-5.5245
-6.4809,-6.0725,-6.8261,-0.0959,28.7732,3.4568
-4.4699,-6.4106,-6.0527,-1.3485,35.5399,-2.3686
-3.2116,-6.5076,-5.7392,-0.4138,48.7271,-24.7489
-5.1372,-6.3186,-5.9055,7.2075,49.9700,-10.9782
-4.9813,-6.3587,-6.2828,4.7607,42.2036,-6.1733
-4.1585,-6.3429,-5.8797,1.3004,58.2064,-14.7142
-3.9320,-6.2358,-5.2612,12.3572,88.1344,-31.9792
-7.6743,-5.8704,-6.2340,16.8409,87.5666,-3.8660
-6.3451,-6.1631,-6.4539,6.3599,68.6270,26.3286
-4.2718,-6.4725,-5.7807,3.2854,82.2495,27.0471
-3.1530,-6.4257,-5.0114,8.8058,94.4133,21.2215
-3.2063,-6.4243,-4.6074,21.7500,105.8282,10.7690
-3.8413,-6.4987,-5.3168,29.9772,110.5808,7.0737
-4.1544,-6.7041,-5.6884,30.4267,106.2761,13.0636
-3.5039,-6.9414,-5.4761,29.5098,105.8698,16.7113
-3.4381,-7.0416,-5.3830,34.1605,108.8693,17.9520
-3.6540,-7.0843,-5.6831,34.0722,106.0587,27.1702
-3.1146,-7.1128,-5.9955,27.6727,94.0662,42.4708
-1.8367,-7.1040,-5.7337,19.6893,81.9609,50.2868
-0.5243,-7.1610,-4.8256,21.8235,71.1171,53.3546
0.7240,-7.3768,-4.6747,30.0485,65.1588,48.5480
