ax,ay,az,gx,gy,gz
7.7367,0.4789,-6.1039,-0.0689,0.0570,-0.7001
7.7396,0.4665,-6.1082,-0.1576,0.1740,-0.7351
7.7408,0.4731,-6.0927,-0.1086,-0.2430,-0.7490
7.7239,0.4959,-6.0836,-0.1312,-0.1139,-0.7124
7.7288,0.4819,-6.0829,-0.1402,-0.0204,-0.6978
7.7307,0.4648,-6.0912,-0.1017,-0.1096,-0.7763
7.7170,0.4667,-6.0830,-0.0020,-0.1873,-0.6811
7.7289,0.4617,-6.0941,-0.0467,0.1190,-0.6854
7.7250,0.4453,-6.0957,0.0198,-0.0542,-0.6871
7.7292,0.4675,-6.1050,-0.0801,-0.2074,-0.6878
7.7164,0.4620,-6.1000,-0.1199,-0.0576,-0.6880
7.7171,0.4598,-6.0951,-0.0936,-0.1244,-0.7303
7.7117,0.4503,-6.0903,-0.0410,-0.3196,-0.6628
7.7354,0.4695,-6.0913,-0.0200,0.0663,-0.6781
7.7247,0.4801,-6.0830,-0.0539,-0.0751,-0.7263
7.7204,0.4670,-6.0913,0.0170,-0.1314,-0.7877
7.7331,0.4589,-6.1003,0.0030,-0.3224,-0.7699
7.7324,0.4758,-6.0982,-0.0447,-0.0612,-0.6786
7.7091,0.4595,-6.0858,-0.0215,-0.1259,-0.6844
7.7229,0.4502,-6.0808,-0.0123,-0.1516,-0.7288
7.7283,0.4493,-6.0818,0.0335,-0.5412,-0.6622
7.7219,0.4634,-6.0850,-0.0325,-0.2747,-0.6357
7.7020,0.4604,-6.0834,-0.0588,-0.1687,-0.6252
7.7229,0.4793,-6.0885,-0.0693,-0.0843,-0.6631
7.7226,0.4724,-6.0791,-0.0734,0.1178,-0.7204
7.7282,0.4582,-6.0983,-0.0751,-0.0968,-0.7431
7.7276,0.4698,-6.0945,-0.0336,0.0707,-0.7101
7.7245,0.4687,-6.0843,-0.0593,0.0952,-0.6969
7.7261,0.4624,-6.0975,-0.0273,-0.1901,-0.6917
7.7181,0.4686,-6.0913,-0.0567,0.0336,-0.6896
7.7207,0.4567,-6.0888,-0.1106,-0.1303,-0.7309
7.7332,0.4606,-6.0878,-0.0477,-0.0691,-0.7473
7.7353,0.4448,-6.0961,0.0194,-0.0447,-0.7117
7.7275,0.4702,-6.0792,0.0040,0.0493,-0.7397
7.7244,0.4631,-6.0667,-0.0021,0.1710,-0.8351
7.7347,0.4631,-6.0732,-0.0046,-0.0756,-0.7888
7.7244,0.4372,-6.0845,-0.0477,-0.2159,-0.7282
7.7318,0.4470,-6.0976,-0.0649,-0.1453,-0.7463
7.7290,0.4711,-6.0798,-0.0295,-0.1593,-0.6692
7.7250,0.4663,-6.0813,-0.0576,-0.2914,-0.6806
7.7292,0.4759,-6.0877,0.0155,-0.1753,-0.6852
7.7395,0.4711,-6.0816,-0.0819,0.0395,-0.7291
7.7292,0.4577,-6.0734,-0.0785,-0.2965,-0.6623
7.7366,0.4494,-6.0730,0.0072,-0.2617,-0.7201
7.7425,0.4721,-6.0700,-0.0009,-0.0792,-0.7430
7.7333,0.4811,-6.0832,-0.0462,-0.2173,-0.7100
7.7152,0.4530,-6.0798,-0.0643,0.1492,-0.7390
7.7195,0.4620,-6.0929,-0.0715,-0.0843,-0.7506
7.7385,0.4742,-6.0894,-0.0322,0.0335,-0.6709
7.7173,0.4675,-6.0909,-0.1008,-0.1725,-0.6813
7.7146,0.4591,-6.0858,-0.0439,-0.1701,-0.7276
7.7337,0.4500,-6.0751,0.0210,-0.2957,-0.7039
7.7355,0.4810,-6.0737,-0.0375,-0.0084,-0.7366
7.7219,0.4789,-6.0847,0.0656,-0.0206,-0.7496
7.7107,0.4492,-6.0833,-0.1041,-0.1097,-0.7548
7.7148,0.4576,-6.0770,-0.0451,0.0234,-0.7147
7.7251,0.4724,-6.0773,-0.1060,0.0764,-0.6987
7.7206,0.4467,-6.0861,-0.0459,-0.0290,-0.7345
7.7246,0.4422,-6.0954,-0.0220,-0.1552,-0.7066
7.7348,0.4721,-6.1020,-0.0546,-0.1211,-0.6534
7.7273,0.4580,-6.0930,0.0167,-0.0654,-0.7165
7.7330,0.4669,-6.0866,-0.0814,-0.2540,-0.6573
7.7381,0.4704,-6.0956,-0.0361,-0.3290,-0.6338
7.7459,0.4631,-6.0934,0.0240,-0.1060,-0.6244
7.7346,0.4718,-6.0868,0.0058,-0.3544,-0.7050
7.7417,0.4925,-6.0726,-0.0014,-0.2425,-0.6527
7.7243,0.4719,-6.0785,-0.0464,-0.1137,-0.7162
7.7289,0.4897,-6.0779,-0.0222,-0.1046,-0.7415
7.7307,0.4737,-6.0864,0.0296,-0.0588,-0.7094
7.7228,0.4616,-6.0897,0.0080,-0.2092,-0.6966
7.7370,0.4596,-6.0795,-0.0005,0.1103,-0.7337
7.7253,0.4502,-6.0841,-0.0882,0.1531,-0.7485
7.7351,0.4782,-6.0744,-0.0810,-0.2513,-0.7965
7.7073,0.4749,-6.0878,-0.0360,-0.0329,-0.6891
7.7221,0.4678,-6.0788,-0.0602,0.0118,-0.7729
7.7223,0.4535,-6.0982,0.0145,-0.0547,-0.7219
7.7252,0.4535,-6.0858,-0.0823,-0.2076,-0.7016
7.7235,0.4535,-6.1010,-0.0786,0.1109,-0.6935
7.7228,0.4478,-6.0869,-0.0772,-0.1417,-0.6903
7.7370,0.4599,-6.0871,-0.0344,-0.1157,-0.6890
7.7340,0.4734,-6.0756,-0.0596,-0.3162,-0.6885
7.7299,0.4816,-6.0797,-0.0696,-0.1852,-0.6883
